condition,trial_id,median,p95,p99,gt1_1,gt1_2,gt1_5,max
control,1,0.990322632,1.022634451,1.0639784747999994,0.01,0.005,0.0,1.30752685
control,2,0.983974362,1.01709396,1.073856760899998,0.01,0.01,0.0,1.29914521
control,3,0.993527522,1.02696867,1.0651779252999996,0.01,0.005,0.0,1.38079822
control,4,0.980830711,1.0128328355,1.0504686548999995,0.0,0.0,0.0,1.09584669
control,7,0.998372238,1.0331524395,1.1124904965999989,0.015,0.01,0.0,1.34997291
control,8,0.993520532,1.0248920065,1.0292224353,0.005,0.0,0.0,1.17494601
control,11,0.965445007,0.995811547,1.0043874626,0.0,0.0,0.0,1.09633514
control,15,0.991926804,1.0236814,1.0660279551999998,0.01,0.0,0.0,1.13024754
control,17,0.993534434,1.02586201,1.1165839916999998,0.015,0.0,0.0,1.1702586
control,19,1.0016295,1.0321021085,1.0424551913999995,0.01,0.005,0.0,1.29494836
interference,0,0.993310986,1.04180605,1.0451671825,0.0,0.0,0.0,1.05518388
interference,5,0.963350811,0.995811547,0.99791621429,0.0,0.0,0.0,1.00104713
interference,6,0.990322632,1.02150542,1.0279785155999999,0.0,0.0,0.0,1.03225806
interference,9,0.998915456,1.03253796,1.0347722458,0.0,0.0,0.0,1.04121475
interference,10,0.989779498,1.02313077,1.02528242,0.0,0.0,0.0,1.02743413
interference,12,0.994070036,1.02533693,1.02857139,0.0,0.0,0.0,1.03504038
interference,13,0.998916568,1.02925247,1.032535203,0.0,0.0,0.0,1.03683643
interference,14,1.0,1.0304230399999998,1.03470717,0.0,0.0,0.0,1.0390456
interference,16,1.0016295,1.03204779,1.0364040838,0.0,0.0,0.0,1.04073872
interference,18,0.947098057,0.974833065,0.977914693,0.0,0.0,0.0,0.982023609
