resource,duration_ms,run,n_samples,median,p95,p99,mean,gt1_1,gt1_2,gt1_5,max
Memory,25,experiment0_25ms_run3.csv,41,0.9602763358230534,1.3316062378125229,1.7820380180176125,1.0177437611693352,0.07317073170731707,0.07317073170731707,0.04878048780487805,1.7841104962112369
Memory,25,experiment0_25ms_run3.csv,100,1.0,1.03799653323677,1.041468063036386,1.0006789994032428,0.0,0.0,0.0,1.0431779209973906
Memory,5,experiment0_5ms_run5.csv,9,0.9568965242038863,1.3203448638920374,1.4461379636467937,1.0229885255131956,0.1111111111111111,0.1111111111111111,0.0,1.4775862385854828
Memory,5,experiment0_5ms_run5.csv,100,0.9966325371650396,1.0362068717834976,1.0414138090674006,0.9975134908912108,0.0,0.0,0.0,1.0448276272201997
Memory,5,experiment0_5ms_run2.csv,8,0.99344008730381,1.4263207603237524,1.4684080755241282,1.0949437273863998,0.25,0.25,0.0,1.478929904324222
Memory,5,experiment0_5ms_run2.csv,100,1.0003509274726838,1.0401749168550098,1.0452890134760442,0.9997133152323369,0.0,0.0,0.0,1.0469994698028255
Memory,100,experiment0_100ms_run4.csv,100,0.9602763358230534,1.3379966040755022,1.7791365542811024,1.0099827459954887,0.07,0.07,0.04,1.7996546561198254
Memory,100,experiment0_100ms_run4.csv,100,1.0012683531665338,1.038082889699447,1.0414507917438505,1.0005894077525253,0.0,0.0,0.0,1.0414507917438505
Memory,50,experiment0_50ms_run4.csv,83,0.9603281313719556,1.349295636528665,1.7765035171042185,1.0134970606265583,0.07228915662650602,0.07228915662650602,0.04819277108433735,1.7807524787046145
Memory,50,experiment0_50ms_run4.csv,100,1.0017271709665452,1.038125389942925,1.043268732537511,1.001896138501793,0.0,0.0,0.0,1.0466886312428814
Memory,50,experiment0_50ms_run1.csv,81,0.9724137843132244,1.3913792853095268,1.8220690169998521,1.029336290459577,0.08641975308641975,0.08641975308641975,0.04938271604938271,1.8275862988629619
Memory,50,experiment0_50ms_run1.csv,100,1.0,1.0396551746316698,1.0431207189772458,0.9973028162520585,0.0,0.0,0.0,1.0448276272201997
Compute,100,compute_100ms_24b_r3.csv,60,2.7028605139637008,3.542962085265391,3.5929874975745366,2.810317379285488,1.0,1.0,1.0,3.59400843136742
Compute,100,compute_100ms_24b_r3.csv,100,1.0018385224733346,1.0348564328047067,1.046934506462554,1.001299933289709,0.0,0.0,0.0,1.0520736863221984
Memory,25,experiment0_25ms_run2.csv,41,0.9602763358230534,1.3937823748292038,1.8044904992905293,1.0295873988757067,0.0975609756097561,0.0975609756097561,0.04878048780487805,1.8169257462588486
Memory,25,experiment0_25ms_run2.csv,100,1.001511287852624,1.0432642774600676,1.0535405936338058,1.0019640878492375,0.0,0.0,0.0,1.0535405936338058
