condition,trial_id,median,mean,p95,p99,gt1_1,gt1_2,gt1_5,max
control,1,1.0,1.016510400775,1.11111104,1.11111104,0.13,0.0,0.0,1.11111104
control,2,1.03124993,1.1229687214000001,1.44444438,1.7788888214999992,0.47,0.26,0.04,2.77777761
control,3,0.972972965,0.9885979552499999,1.08108101,1.298378370399999,0.02,0.015,0.005,1.62162151
control,4,0.900000055,0.940718789575,1.10000004,1.20000007,0.08,0.02,0.0,1.30000002
control,7,0.900000055,0.915000043965,1.0,1.0,0.005,0.0,0.0,1.10000004
control,8,1.0,1.11180554355,1.03472218,1.33333333,0.025,0.015,0.005,21.8888882
control,11,1.0,1.110885405675,1.11111104,1.234756885499998,0.075,0.02,0.005,20.6666665
control,15,1.0,1.1206944276500002,1.11111104,1.563333297099993,0.085,0.025,0.015,20.9999991
control,17,0.778645823,0.80459633027,0.916666641,1.0,0.0,0.0,0.0,1.08333328
control,19,0.75,0.779830710845,0.833333283,0.916666641,0.0,0.0,0.0,1.08333328
interference,0,1.0,0.99381943383,1.0210069025,1.11111104,0.045,0.0,0.0,1.11111104
interference,5,0.830965905,0.9127556834649999,1.18181816,1.5490909231999967,0.075,0.03,0.015,2.54545456
interference,6,0.818181841,0.903394892875,1.1863636159999984,1.36363632,0.085,0.05,0.0,1.45454544
interference,9,1.11111104,1.1277951048,1.44444438,1.7877777089999909,0.52,0.2,0.04,3.77777771
interference,10,1.0,1.0153437837600001,1.3050000214999982,1.501000000399999,0.25,0.18,0.01,1.70000007
interference,12,1.0,1.152725673175,1.33333333,1.668888792899998,0.26,0.11,0.03,20.4444442
interference,13,1.0,1.155208310975,1.3388888824999983,1.889999971399999,0.27,0.125,0.04,18.6666659
interference,14,0.914285712,1.08290473976,1.42222219,1.6396189808999873,0.185,0.12,0.03,16.9650793
interference,16,0.75,0.784479151005,0.833333283,0.8458332822699887,0.01,0.01,0.01,2.33333328
interference,18,1.0,1.024479139095,1.44444438,1.55555552,0.27,0.165,0.015,1.55555552
