resource,duration_ms,phase,n_runs,median_of_run_medians,median_p95,median_p99,median_gt1_1,median_gt1_2,max_observed
Compute,25,interference,1,2.697231933655139,3.494636837486225,3.4975434337551006,1.0,1.0,3.4982700828223194
Compute,25,recovery,1,1.0013787052465908,1.0364187615525509,1.0450487012160063,0.0,0.0,1.0515787369335108
Compute,50,interference,1,2.3531952472236766,3.152504325358182,3.2423834596383716,1.0,1.0,3.243523364389118
Compute,50,recovery,1,1.0,1.0414507917438505,1.0496918812664926,0.0,0.0,1.0587219797077898
Compute,100,interference,3,2.6945913963729886,3.2110546583366872,3.495023286352666,1.0,1.0,3.59400843136742
Compute,100,recovery,3,1.0005399442188367,1.0348564328047067,1.0472145814295657,0.0,0.0,1.0520736863221984
L2,5,interference,1,2.0400682004840425,2.377443426437064,2.4245843005774055,1.0,1.0,2.436369519112491
L2,5,recovery,1,1.0001351648918702,1.0364723314203372,1.0520625916382487,0.0,0.0,1.0537756393668645
L2,10,interference,1,1.7884533932717461,2.124582739398267,2.2648144609022998,1.0,1.0,2.299872391278308
L2,10,recovery,1,0.9986287989486146,1.0337983123182661,1.045534094065218,0.0,0.0,1.045534094065218
L2,25,interference,1,1.7927381125356538,2.2975793736522814,2.3136761847536094,1.0,1.0,2.3177003875289413
L2,25,recovery,1,0.9984871289392853,1.0303327944028369,1.0514371654568118,0.0,0.0,1.0514371654568118
L2,50,interference,1,1.782477434000098,2.18655592734691,2.3695317582974793,1.0,1.0,2.466767429431438
L2,50,recovery,1,0.9980882475484416,1.037915433980201,1.048398809938473,0.0,0.0,1.054380728535005
L2,100,interference,3,1.744386934919116,2.389549871446801,2.8032214055638383,1.0,1.0,2.82728851672018
L2,100,recovery,3,1.0,1.041379326055756,1.0432758915783393,0.0,0.0,1.0603448873295378
Memory,5,interference,5,0.9601556847095732,1.4263207603237524,1.4684080755241282,0.125,0.125,1.6597582171179655
Memory,5,recovery,5,1.0000235649207414,1.0380062384611248,1.0452890134760442,0.0,0.0,1.08924394697157
Memory,10,interference,5,0.9619966138041252,1.5362108191523882,1.5455395211838854,0.125,0.125,1.8029874528480794
Memory,10,recovery,5,1.0002694329297406,1.0383350847685062,1.0466494491103697,0.0,0.0,1.3034060043390898
Memory,25,interference,5,0.9602763358230534,1.6787565343354451,1.7730570261831002,0.07317073170731707,0.07317073170731707,1.8169257462588486
Memory,25,recovery,5,0.9986311093678405,1.0365258702165103,1.0483837040944948,0.0,0.0,1.086355841994781
Memory,50,interference,5,0.9603281313719556,1.3549338649022014,1.7821244616793956,0.08536585365853659,0.08536585365853659,1.8275862988629619
Memory,50,recovery,5,1.0,1.038125389942925,1.043268732537511,0.0,0.0,1.0530554572214421
Memory,100,interference,5,0.9606133239810488,1.346240847591726,1.7806802236917565,0.09,0.08,1.8054694052061393
Memory,100,recovery,5,1.000519477923366,1.040261304500121,1.0488829751663191,0.0,0.0,1.0718241117741014
