sample,phase,victim_latency_ms
0,baseline,0.541696012
1,baseline,0.593855977
2,baseline,0.616447985
3,baseline,0.588800013
4,baseline,0.591871977
5,baseline,0.594655991
6,baseline,0.536575973
7,baseline,0.582656026
8,baseline,0.592000008
9,baseline,0.586751997
10,baseline,0.591871977
11,baseline,0.596992016
12,baseline,0.590848029
13,baseline,0.589824021
14,baseline,0.54272002
15,baseline,0.591871977
16,baseline,0.618496001
17,baseline,0.596159995
18,baseline,0.587903976
19,baseline,0.593919992
20,baseline,0.594944
21,baseline,0.589919984
22,baseline,0.592895985
23,baseline,0.591871977
24,baseline,0.598016024
25,baseline,0.588800013
26,baseline,0.59167999
27,baseline,0.546815991
28,baseline,0.591871977
29,baseline,0.614400029
30,baseline,0.593919992
31,baseline,0.595712006
32,baseline,0.592895985
33,baseline,0.596992016
34,baseline,0.588800013
35,baseline,0.591871977
36,baseline,0.591647983
37,baseline,0.593919992
38,baseline,0.594944
39,baseline,0.591871977
40,baseline,0.543744028
41,baseline,0.586751997
42,baseline,0.603136003
43,baseline,0.589536011
44,baseline,0.593919992
45,baseline,0.594784021
46,baseline,0.535776019
47,baseline,0.562175989
48,baseline,0.594016016
49,baseline,0.593056023
50,baseline,0.594944
51,baseline,0.591776013
52,baseline,0.588064015
53,baseline,0.539647996
54,baseline,0.594944
55,baseline,0.619296014
56,baseline,0.594976008
57,baseline,0.588800013
58,baseline,0.594623983
59,baseline,0.589824021
60,baseline,0.589824021
61,baseline,0.59366399
62,baseline,0.592895985
63,baseline,0.588800013
64,baseline,0.591840029
65,baseline,0.591871977
66,baseline,0.593792021
67,baseline,0.539647996
68,baseline,0.595968008
69,baseline,0.617471993
70,baseline,0.592895985
71,baseline,0.591871977
72,baseline,0.591072023
73,baseline,0.593919992
74,baseline,0.591871977
75,baseline,0.591871977
76,baseline,0.591871977
77,baseline,0.594911993
78,baseline,0.594591975
79,baseline,0.593919992
80,baseline,0.543744028
81,baseline,0.598016024
82,baseline,0.614400029
83,baseline,0.591647983
84,baseline,0.593151987
85,baseline,0.591968
86,baseline,0.590943992
87,baseline,0.592832029
88,baseline,0.588800013
89,baseline,0.591840029
90,baseline,0.593919992
91,baseline,0.591744006
92,baseline,0.591871977
93,baseline,0.54272002
94,baseline,0.622591972
95,baseline,0.622591972
96,baseline,0.591647983
97,baseline,0.59721601
98,baseline,0.591871977
99,baseline,0.590752006
100,interference,0.588832021
101,interference,0.592800021
102,interference,0.594720006
103,interference,0.595744014
104,interference,0.592736006
105,interference,0.591871977
106,interference,0.524287999
107,interference,0.58060801
108,interference,0.602111995
109,interference,0.590848029
110,interference,0.591871977
111,interference,0.591871977
112,interference,0.590848029
113,interference,0.590943992
114,interference,0.590848029
115,interference,0.590623975
116,interference,0.588800013
117,interference,0.592895985
118,interference,0.595968008
119,interference,0.594591975
120,interference,0.545791984
121,interference,0.612352014
122,interference,0.613536
123,interference,0.589824021
124,interference,0.591871977
125,interference,0.590848029
126,interference,0.593919992
127,interference,0.593760014
128,interference,0.591008008
129,interference,0.596992016
130,interference,0.587776005
131,interference,0.587647974
132,interference,0.591871977
133,interference,0.541696012
134,interference,0.590848029
135,interference,0.608255982
136,interference,0.589824021
137,interference,0.590848029
138,interference,0.589919984
139,interference,0.592895985
140,interference,0.592992008
141,interference,0.598016024
142,interference,0.594208002
143,interference,0.592895985
144,interference,0.591871977
145,interference,0.591808021
146,interference,0.540672004
147,interference,0.586751997
148,interference,0.610303998
149,interference,0.594944
150,interference,0.589824021
151,interference,0.596768022
152,interference,0.589887977
153,interference,0.593919992
154,interference,0.591871977
155,interference,0.587776005
156,interference,0.590848029
157,interference,0.592800021
158,interference,0.589824021
159,interference,0.595968008
160,interference,0.530431986
161,interference,0.611328006
162,interference,0.616447985
163,interference,0.595040023
164,interference,0.593919992
165,interference,0.595968008
166,interference,0.591871977
167,interference,0.593919992
168,interference,0.592895985
169,interference,0.591808021
170,interference,0.592544019
171,interference,0.594944
172,interference,0.595968008
173,interference,0.530431986
174,interference,0.618496001
175,interference,0.608255982
176,interference,0.589824021
177,interference,0.595296025
178,interference,0.589824021
179,interference,0.590848029
180,interference,0.592895985
181,interference,0.586848021
182,interference,0.593919992
183,interference,0.593919992
184,interference,0.595839977
185,interference,0.595968008
186,interference,0.593760014
187,interference,0.534528017
188,interference,0.618496001
189,interference,0.619520009
190,interference,0.590848029
191,interference,0.588800013
192,interference,0.593919992
