sample,phase,victim_latency_us,time_since_interference_end_us
0,baseline,3.35999997,-1
1,baseline,3.07200011,-1
2,baseline,4.09599999,-1
3,baseline,3.1359999,-1
4,baseline,3.23199993,-1
5,baseline,3.23199993,-1
6,baseline,3.07200011,-1
7,baseline,3.07200011,-1
8,baseline,3.10399989,-1
9,baseline,4.09599999,-1
10,baseline,3.07200011,-1
11,baseline,3.07200011,-1
12,baseline,3.16799991,-1
13,baseline,3.07200011,-1
14,baseline,4.09599999,-1
15,baseline,4.09599999,-1
16,baseline,3.16799991,-1
17,baseline,4.09599999,-1
18,baseline,4.09599999,-1
19,baseline,4.09599999,-1
20,baseline,4.09599999,-1
21,baseline,3.07200011,-1
22,baseline,3.07200011,-1
23,baseline,3.07200011,-1
24,baseline,3.26399994,-1
25,baseline,3.07200011,-1
26,baseline,3.07200011,-1
27,baseline,3.07200011,-1
28,baseline,4.09599999,-1
29,baseline,4.09599999,-1
30,baseline,4.09599999,-1
31,baseline,4.09599999,-1
32,baseline,4.09599999,-1
33,baseline,4.09599999,-1
34,baseline,4.09599999,-1
35,baseline,3.35999997,-1
36,baseline,3.07200011,-1
37,baseline,4.09599999,-1
38,baseline,3.07200011,-1
39,baseline,3.07200011,-1
40,baseline,3.07200011,-1
41,baseline,3.07200011,-1
42,baseline,4.09599999,-1
43,baseline,7.1680001,-1
44,baseline,4.09599999,-1
45,baseline,4.09599999,-1
46,baseline,4.09599999,-1
47,baseline,4.09599999,-1
48,baseline,3.07200011,-1
49,baseline,3.26399994,-1
50,baseline,3.16799991,-1
51,baseline,3.07200011,-1
52,baseline,3.07200011,-1
53,baseline,3.10399989,-1
54,baseline,4.09599999,-1
55,baseline,4.09599999,-1
56,baseline,4.09599999,-1
57,baseline,4.09599999,-1
58,baseline,3.07200011,-1
59,baseline,3.07200011,-1
60,baseline,3.1359999,-1
61,baseline,3.07200011,-1
62,baseline,3.07200011,-1
63,baseline,3.07200011,-1
64,baseline,4.09599999,-1
65,baseline,4.09599999,-1
66,baseline,4.09599999,-1
67,baseline,4.09599999,-1
68,baseline,4.09599999,-1
69,baseline,4.09599999,-1
70,baseline,4.09599999,-1
71,baseline,3.07200011,-1
72,baseline,4.09599999,-1
73,baseline,4.09599999,-1
74,baseline,4.09599999,-1
75,baseline,3.07200011,-1
76,baseline,3.16799991,-1
77,baseline,3.07200011,-1
78,baseline,4.09599999,-1
79,baseline,4.09599999,-1
80,baseline,3.07200011,-1
81,baseline,3.07200011,-1
82,baseline,4.09599999,-1
83,baseline,4.09599999,-1
84,baseline,3.07200011,-1
85,baseline,3.07200011,-1
86,baseline,4.09599999,-1
87,baseline,4.09599999,-1
88,baseline,3.07200011,-1
89,baseline,3.07200011,-1
90,baseline,4.09599999,-1
91,baseline,4.09599999,-1
92,baseline,3.07200011,-1
93,baseline,3.29599995,-1
94,baseline,3.07200011,-1
95,baseline,4.09599999,-1
96,baseline,4.09599999,-1
97,baseline,3.42399999,-1
98,baseline,3.07200011,-1
99,baseline,3.07200011,-1
100,recovery,4.09599999,2.04799999
101,recovery,4.09599999,7.1680001
102,recovery,3.07200011,13.3119998
103,recovery,4.09599999,18.4320007
104,recovery,4.09599999,23.5520005
105,recovery,4.09599999,28.6720004
106,recovery,4.09599999,33.7920003
107,recovery,3.07200011,39.9359986
108,recovery,4.09599999,45.0560004
109,recovery,4.09599999,50.1759984
110,recovery,4.09599999,55.2960001
111,recovery,3.07200011,61.4399984
112,recovery,3.07200011,66.5600002
113,recovery,3.07200011,71.6800019
114,recovery,4.09599999,76.8000036
