sample,phase,victim_latency_ms,recovery_index,time_since_interference_end_ms
0,baseline,0.595968008,,
1,baseline,0.593919992,,
2,baseline,0.598303974,,
3,baseline,0.595071971,,
4,baseline,0.590560019,,
5,baseline,0.594752014,,
6,baseline,0.535552025,,
7,baseline,0.561151981,,
8,baseline,0.543744028,,
9,baseline,0.583679974,,
10,baseline,0.601087987,,
11,baseline,0.591871977,,
12,baseline,0.591871977,,
13,baseline,0.591871977,,
14,baseline,0.593855977,,
15,baseline,0.590848029,,
16,baseline,0.595968008,,
17,baseline,0.592895985,,
18,baseline,0.589568019,,
19,baseline,0.592800021,,
20,baseline,0.591072023,,
21,baseline,0.547839999,,
22,baseline,0.584703982,,
23,baseline,0.611328006,,
24,baseline,0.589727998,,
25,baseline,0.590687990,,
26,baseline,0.592768013,,
27,baseline,0.605184019,,
28,baseline,0.594944000,,
29,baseline,0.594208002,,
30,baseline,0.593280017,,
31,baseline,0.590848029,,
32,baseline,0.598016024,,
33,baseline,0.589631975,,
34,baseline,0.589824021,,
35,baseline,0.542720020,,
36,baseline,0.598016024,,
37,baseline,0.612352014,,
38,baseline,0.592159986,,
39,baseline,0.586751997,,
40,baseline,0.595968008,,
41,baseline,0.588800013,,
42,baseline,0.587584019,,
43,baseline,0.593792021,,
44,baseline,0.590848029,,
45,baseline,0.590719998,,
46,baseline,0.594944000,,
47,baseline,0.592895985,,
48,baseline,0.598016024,,
49,baseline,0.612352014,,
50,baseline,0.617471993,,
51,baseline,0.588639975,,
52,baseline,0.589727998,,
53,baseline,0.595968008,,
54,baseline,0.591871977,,
55,baseline,0.595712006,,
56,baseline,0.592895985,,
57,baseline,0.593919992,,
58,baseline,0.595968008,,
59,baseline,0.589824021,,
60,baseline,0.584703982,,
61,baseline,0.604160011,,
62,baseline,0.593119979,,
63,baseline,0.616447985,,
64,baseline,0.610303998,,
65,baseline,0.589760005,,
66,baseline,0.595135987,,
67,baseline,0.592895985,,
68,baseline,0.592671990,,
69,baseline,0.592895985,,
70,baseline,0.596992016,,
71,baseline,0.589471996,,
72,baseline,0.596671999,,
73,baseline,0.589824021,,
74,baseline,0.593919992,,
75,baseline,0.601087987,,
76,baseline,0.617471993,,
77,baseline,0.614400029,,
78,baseline,0.587776005,,
79,baseline,0.591871977,,
80,baseline,0.592863977,,
81,baseline,0.590848029,,
82,baseline,0.589887977,,
83,baseline,0.592895985,,
84,baseline,0.592895985,,
85,baseline,0.588800013,,
86,baseline,0.586751997,,
87,baseline,0.591488004,,
88,baseline,0.568319976,,
89,baseline,0.596992016,,
90,baseline,0.618496001,,
91,baseline,0.612352014,,
92,baseline,0.589504004,,
93,baseline,0.589600027,,
94,baseline,0.599039972,,
95,baseline,0.589824021,,
96,baseline,0.588800013,,
97,baseline,0.590848029,,
98,baseline,0.594623983,,
99,baseline,0.590848029,,
0,interference,1.596415997,,
1,interference,1.808383942,,
2,interference,1.903615952,,
3,interference,1.594367981,,
4,interference,1.596415997,,
5,interference,1.596415997,,
6,interference,2.075648069,,
7,interference,1.597440004,,
8,interference,1.596415997,,
9,interference,1.595391989,,
10,interference,2.068480015,,
11,interference,1.597440004,,
12,interference,1.596415997,,
13,interference,1.598464012,,
14,interference,1.597440004,,
15,interference,2.069504023,,
16,interference,1.597440004,,
17,interference,1.598464012,,
18,interference,1.596415997,,
19,interference,1.598464012,,
20,interference,1.806336045,,
21,interference,1.598464012,,
22,interference,1.597440004,,
23,interference,1.596415997,,
24,interference,1.598464012,,
25,interference,1.596415997,,
26,interference,1.804288030,,
27,interference,1.597440004,,
28,interference,1.596415997,,
29,interference,1.596415997,,
30,interference,1.595391989,,
31,interference,1.803264022,,
