sample,phase,victim_latency_ms,recovery_index,time_since_interference_end_ms
0,baseline,0.591871977,,
1,baseline,0.541696012,,
2,baseline,0.589024007,,
3,baseline,0.617471993,,
4,baseline,0.593919992,,
5,baseline,0.592895985,,
6,baseline,0.533504009,,
7,baseline,0.559104025,,
8,baseline,0.585727990,,
9,baseline,0.590719998,,
10,baseline,0.595744014,,
11,baseline,0.592895985,,
12,baseline,0.594048023,,
13,baseline,0.595296025,,
14,baseline,0.545791984,,
15,baseline,0.584703982,,
16,baseline,0.611328006,,
17,baseline,0.590752006,,
18,baseline,0.590848029,,
19,baseline,0.593919992,,
20,baseline,0.587776005,,
21,baseline,0.592607975,,
22,baseline,0.595040023,,
23,baseline,0.587776005,,
24,baseline,0.595903993,,
25,baseline,0.589824021,,
26,baseline,0.594944000,,
27,baseline,0.541696012,,
28,baseline,0.588800013,,
29,baseline,0.609247983,,
30,baseline,0.595264018,,
31,baseline,0.595968008,,
32,baseline,0.590816021,,
33,baseline,0.589824021,,
34,baseline,0.589824021,,
35,baseline,0.590848029,,
36,baseline,0.593599975,,
37,baseline,0.591584027,,
38,baseline,0.593919992,,
39,baseline,0.595968008,,
40,baseline,0.587040007,,
41,baseline,0.541696012,,
42,baseline,0.580608010,,
43,baseline,0.591871977,,
44,baseline,0.595968008,,
45,baseline,0.593919992,,
46,baseline,0.593663990,,
47,baseline,0.596992016,,
48,baseline,0.589951992,,
49,baseline,0.593119979,,
50,baseline,0.592895985,,
51,baseline,0.591584027,,
52,baseline,0.587776005,,
53,baseline,0.597728014,,
54,baseline,0.594175994,,
55,baseline,0.618496001,,
56,baseline,0.611328006,,
57,baseline,0.596256018,,
58,baseline,0.592895985,,
59,baseline,0.593599975,,
60,baseline,0.593919992,,
61,baseline,0.592895985,,
62,baseline,0.587584019,,
63,baseline,0.594944000,,
64,baseline,0.593919992,,
65,baseline,0.591871977,,
66,baseline,0.596992016,,
67,baseline,0.592895985,,
68,baseline,0.617471993,,
69,baseline,0.616415977,,
70,baseline,0.589727998,,
71,baseline,0.599039972,,
72,baseline,0.592992008,,
73,baseline,0.591871977,,
74,baseline,0.590111971,,
75,baseline,0.592159986,,
76,baseline,0.590848029,,
77,baseline,0.591711998,,
78,baseline,0.596224010,,
79,baseline,0.592895985,,
80,baseline,0.589536011,,
81,baseline,0.596992016,,
82,baseline,0.623615980,,
83,baseline,0.607231975,,
84,baseline,0.591871977,,
85,baseline,0.592895985,,
86,baseline,0.590848029,,
87,baseline,0.590848029,,
88,baseline,0.594175994,,
89,baseline,0.592895985,,
90,baseline,0.591871977,,
91,baseline,0.596704006,,
92,baseline,0.591871977,,
93,baseline,0.592224002,,
94,baseline,0.591871977,,
95,baseline,0.593919992,,
96,baseline,0.614400029,,
97,baseline,0.619520009,,
98,baseline,0.588800013,,
99,baseline,0.592768013,,
0,interference,0.577535987,,
1,interference,0.572416008,,
2,interference,0.566272020,,
3,interference,0.566272020,,
4,interference,0.565248013,,
5,interference,0.566272020,,
6,interference,0.565248013,,
7,interference,0.858111978,,
8,interference,0.565248013,,
9,interference,0.566272020,,
10,interference,0.751616001,,
11,interference,0.582656026,,
12,interference,0.586751997,,
13,interference,0.582656026,,
14,interference,0.566272020,,
15,interference,0.566272020,,
16,interference,0.565248013,,
17,interference,0.566272020,,
18,interference,0.567296028,,
19,interference,0.566272020,,
20,interference,0.566272020,,
21,interference,1.040384054,,
22,interference,0.585727990,,
23,interference,0.584703982,,
24,interference,0.579584002,,
25,interference,0.565248013,,
26,interference,0.566272020,,
27,interference,0.566272020,,
28,interference,0.566272020,,
29,interference,0.566272020,,
30,interference,0.566272020,,
31,interference,0.566272020,,
32,interference,0.566272020,,
33,interference,0.566272020,,
34,interference,0.567296028,,
35,interference,0.565248013,,
36,interference,1.043455958,,
37,interference,0.585727990,,
38,interference,0.584703982,,
39,interference,0.573440015,,
40,interference,0.566272020,,
41,interference,0.566272020,,
42,interference,0.566272020,,
43,interference,0.566272020,,
44,interference,0.566272020,,
45,interference,0.566272020,,
46,interference,0.565248013,,
47,interference,0.565248013,,
48,interference,0.566272020,,
49,interference,0.566272020,,
50,interference,1.034240007,,
51,interference,0.576511979,,
52,interference,0.582656026,,
53,interference,0.581632018,,
54,interference,0.567296028,,
55,interference,0.565248013,,
56,interference,0.566272020,,
57,interference,0.566272020,,
58,interference,0.567296028,,
59,interference,0.566272020,,
60,interference,0.566272020,,
61,interference,0.566272020,,
62,interference,0.567296028,,
63,interference,0.566272020,,
64,interference,0.566272020,,
65,interference,0.777216017,,
66,interference,0.584703982,,
67,interference,0.580608010,,
68,interference,0.583679974,,
69,interference,0.566272020,,
70,interference,0.566272020,,
71,interference,0.567296028,,
72,interference,0.566272020,,
73,interference,0.566272020,,
74,interference,0.567296028,,
75,interference,0.567296028,,
76,interference,0.566272020,,
77,interference,0.566272020,,
78,interference,0.567296028,,
79,interference,0.566272020,,
80,interference,0.790527999,,
81,interference,0.586751997,,
82,interference,0.582656026,,
83,interference,0.566272020,,
84,interference,0.566272020,,
85,interference,0.566272020,,
86,interference,0.567296028,,
87,interference,0.565248013,,
88,interference,0.566272020,,
89,interference,0.565248013,,
90,interference,0.777216017,,
91,interference,0.585727990,,
92,interference,0.587776005,,
93,interference,0.584703982,,
94,interference,0.565248013,,
95,interference,0.566272020,,
96,interference,0.565248013,,
97,interference,0.566272020,,
98,interference,0.566272020,,
99,interference,0.566272020,,
0,recovery,0.559808016,0,0.030015999
1,recovery,0.577535987,1,0.760832012
2,recovery,0.608255982,2,1.343487978
3,recovery,0.616512001,3,1.959936023
4,recovery,0.592863977,4,2.581536055
5,recovery,0.596000016,5,3.180543900
6,recovery,0.536575973,6,4.044799805
7,recovery,0.572416008,7,4.589568138
8,recovery,0.600063980,8,5.176320076
9,recovery,0.593919992,9,5.783552170
10,recovery,0.595968008,10,6.383615971
11,recovery,0.594655991,11,6.984992027
12,recovery,0.594944000,12,7.584767818
13,recovery,0.593183994,13,8.184831619
14,recovery,0.593919992,14,8.783871651
15,recovery,0.541696012,15,9.810943604
16,recovery,0.590848029,16,10.364928246
17,recovery,0.613376021,17,10.960895538
18,recovery,0.600063980,18,11.586560249
19,recovery,0.593919992,19,12.192768097
20,recovery,0.595679998,20,12.792096138
21,recovery,0.595968008,21,13.393919945
22,recovery,0.590848029,22,13.995008469
23,recovery,0.593919992,23,14.590975761
24,recovery,0.593919992,24,15.191040039
25,recovery,0.588768005,25,15.789088249
26,recovery,0.591040015,26,16.382976532
27,recovery,0.593919992,27,16.978944778
28,recovery,0.538623989,28,18.007040024
29,recovery,0.585727990,29,18.558975220
30,recovery,0.612352014,30,19.160064697
31,recovery,0.592895985,31,19.782655716
32,recovery,0.591711998,32,20.380832672
33,recovery,0.594944000,33,20.977664948
34,recovery,0.592895985,34,21.578752518
35,recovery,0.591871977,35,22.176767349
36,recovery,0.595968008,36,22.774784088
37,recovery,0.598016024,37,23.376895905
38,recovery,0.593919992,38,23.980031967
39,recovery,0.590848029,39,24.579072952
40,recovery,0.594944000,40,25.175039291
41,recovery,0.541696012,41,26.203136444
42,recovery,0.586751997,42,26.753023148
43,recovery,0.616447985,43,27.354112625
44,recovery,0.589824021,44,27.977727890
45,recovery,0.590848029,45,28.572671890
46,recovery,0.592895985,46,29.168640137
47,recovery,0.594111979,47,29.766656876
48,recovery,0.595968008,48,30.366720200
49,recovery,0.596000016,49,30.968128204
50,recovery,0.591871977,50,31.570943832
51,recovery,0.596831977,51,32.168254852
52,recovery,0.591871977,52,32.770046234
53,recovery,0.589824021,53,33.367038727
54,recovery,0.589824021,54,34.108417511
55,recovery,0.614239991,55,34.703582764
56,recovery,0.613376021,56,35.322879791
57,recovery,0.595968008,57,35.941375732
58,recovery,0.593919992,58,36.542465210
59,recovery,0.590816021,59,37.141536713
60,recovery,0.596671999,60,37.737792969
61,recovery,0.594944000,61,38.340606689
62,recovery,0.591871977,62,38.940673828
63,recovery,0.590848029,63,39.537662506
64,recovery,0.586495996,64,40.132865906
65,recovery,0.594944000,65,40.724479675
66,recovery,0.590976000,66,41.324542999
67,recovery,0.592671990,67,41.920864105
68,recovery,0.594944000,68,42.667007446
69,recovery,0.618496001,69,43.267070770
70,recovery,0.615423977,70,43.898880005
71,recovery,0.594911993,71,44.518432617
72,recovery,0.598016024,72,45.118465424
73,recovery,0.588832021,73,45.721790314
74,recovery,0.592895985,74,46.315521240
75,recovery,0.591871977,75,46.914558411
76,recovery,0.591871977,76,47.512577057
77,recovery,0.592607975,77,48.108833313
78,recovery,0.589663982,78,48.705696106
79,recovery,0.592671990,79,49.299678802
80,recovery,0.593760014,80,49.896606445
81,recovery,0.591776013,81,50.494686127
82,recovery,0.592895985,82,51.239936829
83,recovery,0.616447985,83,51.838977814
84,recovery,0.608448029,84,52.465663910
85,recovery,0.590911984,85,53.079040527
86,recovery,0.593824029,86,53.675102234
87,recovery,0.590848029,87,54.274047852
88,recovery,0.593919992,88,54.870014191
89,recovery,0.590848029,89,55.472129822
90,recovery,0.590848029,90,56.067073822
91,recovery,0.591808021,91,56.662078857
92,recovery,0.593919992,92,57.259006500
93,recovery,0.590848029,93,57.858047485
94,recovery,0.594944000,94,58.454017639
95,recovery,0.596992016,95,59.200511932
96,recovery,0.614400029,96,59.805694580
97,recovery,0.618496001,97,60.432384491
98,recovery,0.588800013,98,61.057022095
99,recovery,0.590719998,99,61.651073456
