sample,phase,victim_latency_ms
0,baseline,0.581632018
1,baseline,0.653312027
2,baseline,0.681984007
3,baseline,0.679935992
4,baseline,0.681984007
5,baseline,0.684032023
6,baseline,0.608255982
7,baseline,0.664575994
8,baseline,0.678752005
9,baseline,0.684032023
10,baseline,0.615423977
11,baseline,0.681984007
12,baseline,0.700416028
13,baseline,0.699392021
14,baseline,0.69017601
15,baseline,0.678752005
16,baseline,0.674816012
17,baseline,0.674687982
18,baseline,0.679615974
19,baseline,0.683008015
20,baseline,0.67584002
21,baseline,0.673792005
22,baseline,0.67683202
23,baseline,0.674816012
24,baseline,0.675647974
25,baseline,0.677887976
26,baseline,0.674816012
27,baseline,0.622591972
28,baseline,0.705536008
29,baseline,0.69529599
30,baseline,0.674816012
31,baseline,0.672767997
32,baseline,0.673792005
33,baseline,0.684032023
34,baseline,0.682816029
35,baseline,0.676864028
36,baseline,0.674880028
37,baseline,0.680927992
38,baseline,0.681984007
39,baseline,0.619520009
40,baseline,0.701439977
41,baseline,0.69529599
42,baseline,0.681984007
43,baseline,0.677887976
44,baseline,0.670816004
45,baseline,0.677631974
46,baseline,0.674816012
47,baseline,0.678911984
48,baseline,0.676864028
49,baseline,0.683167994
50,baseline,0.629760027
51,baseline,0.710655987
52,baseline,0.694271982
53,baseline,0.679935992
54,baseline,0.677568018
55,baseline,0.67584002
56,baseline,0.67584002
57,baseline,0.67584002
58,baseline,0.670719981
59,baseline,0.677887976
60,baseline,0.678207994
61,baseline,0.67484802
62,baseline,0.687103987
63,baseline,0.707584023
64,baseline,0.691136003
65,baseline,0.676864028
66,baseline,0.683008015
67,baseline,0.678911984
68,baseline,0.679840028
69,baseline,0.673792005
70,baseline,0.671935976
71,baseline,0.677887976
72,baseline,0.679935992
73,baseline,0.672096014
74,baseline,0.689152002
75,baseline,0.708736002
76,baseline,0.684032023
77,baseline,0.674816012
78,baseline,0.678592026
79,baseline,0.681984007
80,baseline,0.676671982
81,baseline,0.68096
82,baseline,0.674816012
83,baseline,0.678911984
84,baseline,0.679840028
85,baseline,0.672767997
86,baseline,0.684032023
87,baseline,0.708607972
88,baseline,0.695583999
89,baseline,0.68166399
90,baseline,0.674048007
91,baseline,0.677760005
92,baseline,0.674816012
93,baseline,0.683008015
94,baseline,0.676864028
95,baseline,0.68096
96,baseline,0.682847977
97,baseline,0.682335973
98,baseline,0.691200018
99,baseline,0.707423985
100,interference,0.751616001
101,interference,0.674816012
102,interference,0.670719981
103,interference,0.673792005
104,interference,0.646143973
105,interference,0.67584002
106,interference,0.696319997
107,interference,0.671743989
108,interference,0.67584002
109,interference,0.636928022
110,interference,0.661248028
111,interference,0.671711981
112,interference,0.677951992
113,interference,0.677887976
114,interference,0.676864028
115,interference,0.681984007
116,interference,0.677887976
117,interference,0.618496001
118,interference,0.699392021
119,interference,0.696319997
120,interference,0.67584002
121,interference,0.677887976
122,interference,0.672608018
123,interference,0.683839977
124,interference,0.673919976
125,interference,0.678048015
126,interference,0.67868799
127,interference,0.672832012
128,interference,0.618496001
129,interference,0.697344005
130,interference,0.692224026
131,interference,0.673600018
132,interference,0.67584002
133,interference,0.673792005
134,interference,0.674943984
135,interference,0.674495995
136,interference,0.676639974
137,interference,0.679776013
138,interference,0.678911984
139,interference,0.677887976
140,interference,0.618496001
141,interference,0.693247974
142,interference,0.69529599
143,interference,0.676864028
144,interference,0.679615974
145,interference,0.681855977
146,interference,0.68096
147,interference,0.678911984
148,interference,0.678623974
149,interference,0.687039971
150,interference,0.679903984
151,interference,0.676864028
152,interference,0.681984007
153,interference,0.713728011
154,interference,0.693247974
155,interference,0.670463979
156,interference,0.681984007
157,interference,0.678911984
158,interference,0.677887976
