sample,phase,victim_latency_ms,recovery_index
0,baseline,0.508928001,-1
1,baseline,0.58060801,-1
2,baseline,0.593824029,-1
3,baseline,0.594944,-1
4,baseline,0.595968008,-1
5,baseline,0.589056015,-1
6,baseline,0.536575973,-1
7,baseline,0.577535987,-1
8,baseline,0.543744028,-1
9,baseline,0.60927999,-1
10,baseline,0.603136003,-1
11,baseline,0.590848029,-1
12,baseline,0.593919992,-1
13,baseline,0.587776005,-1
14,baseline,0.595808029,-1
15,baseline,0.595968008,-1
16,baseline,0.591744006,-1
17,baseline,0.58969599,-1
18,baseline,0.593919992,-1
19,baseline,0.592895985,-1
20,baseline,0.591135979,-1
21,baseline,0.548864007,-1
22,baseline,0.602111995,-1
23,baseline,0.618496001,-1
24,baseline,0.588800013,-1
25,baseline,0.596992016,-1
26,baseline,0.599039972,-1
27,baseline,0.593919992,-1
28,baseline,0.588800013,-1
29,baseline,0.592895985,-1
30,baseline,0.590848029,-1
31,baseline,0.593919992,-1
32,baseline,0.592736006,-1
33,baseline,0.593855977,-1
34,baseline,0.545791984,-1
35,baseline,0.583679974,-1
36,baseline,0.583679974,-1
37,baseline,0.584703982,-1
38,baseline,0.594944,-1
39,baseline,0.59296,-1
40,baseline,0.588800013,-1
41,baseline,0.602111995,-1
42,baseline,0.593151987,-1
43,baseline,0.595936,-1
44,baseline,0.595839977,-1
45,baseline,0.595968008,-1
46,baseline,0.590528011,-1
47,baseline,0.597119987,-1
48,baseline,0.524287999,-1
49,baseline,0.598016024,-1
50,baseline,0.617471993,-1
51,baseline,0.587776005,-1
52,baseline,0.588096023,-1
53,baseline,0.590143979,-1
54,baseline,0.59267199,-1
55,baseline,0.588800013,-1
56,baseline,0.593919992,-1
57,baseline,0.595968008,-1
58,baseline,0.589824021,-1
59,baseline,0.591903985,-1
60,baseline,0.590848029,-1
61,baseline,0.525312006,-1
62,baseline,0.602111995,-1
63,baseline,0.610303998,-1
64,baseline,0.593919992,-1
65,baseline,0.58969599,-1
66,baseline,0.590848029,-1
67,baseline,0.594016016,-1
68,baseline,0.592895985,-1
69,baseline,0.588608027,-1
70,baseline,0.597728014,-1
71,baseline,0.595968008,-1
72,baseline,0.590848029,-1
73,baseline,0.598847985,-1
74,baseline,0.593919992,-1
75,baseline,0.522368014,-1
76,baseline,0.579584002,-1
77,baseline,0.603136003,-1
78,baseline,0.598016024,-1
79,baseline,0.59267199,-1
80,baseline,0.595968008,-1
81,baseline,0.604160011,-1
82,baseline,0.590848029,-1
83,baseline,0.593919992,-1
84,baseline,0.595968008,-1
85,baseline,0.594752014,-1
86,baseline,0.592832029,-1
87,baseline,0.594944,-1
88,baseline,0.524287999,-1
89,baseline,0.593919992,-1
90,baseline,0.620544016,-1
91,baseline,0.595968008,-1
92,baseline,0.590848029,-1
