sample,phase,victim_latency_ms,recovery_index
0,baseline,0.622591972,-1
1,baseline,0.67584002,-1
2,baseline,0.679935992,-1
3,baseline,0.675647974,-1
4,baseline,0.670719981,-1
5,baseline,0.60927999,-1
6,baseline,0.65228802,-1
7,baseline,0.677887976,-1
8,baseline,0.672767997,-1
9,baseline,0.676864028,-1
10,baseline,0.675616026,-1
11,baseline,0.620544016,-1
12,baseline,0.706560016,-1
13,baseline,0.694271982,-1
14,baseline,0.681984007,-1
15,baseline,0.677760005,-1
16,baseline,0.677856028,-1
17,baseline,0.67584002,-1
18,baseline,0.674816012,-1
19,baseline,0.686079979,-1
20,baseline,0.671743989,-1
21,baseline,0.672767997,-1
22,baseline,0.620544016,-1
23,baseline,0.703487992,-1
24,baseline,0.696223974,-1
25,baseline,0.671743989,-1
26,baseline,0.677887976,-1
27,baseline,0.676864028,-1
28,baseline,0.676864028,-1
29,baseline,0.682911992,-1
30,baseline,0.672767997,-1
31,baseline,0.673792005,-1
32,baseline,0.674816012,-1
33,baseline,0.674816012,-1
34,baseline,0.620544016,-1
35,baseline,0.697055995,-1
36,baseline,0.69529599,-1
37,baseline,0.672896028,-1
38,baseline,0.68096,-1
39,baseline,0.678911984,-1
40,baseline,0.677887976,-1
41,baseline,0.678911984,-1
42,baseline,0.672959983,-1
43,baseline,0.677887976,-1
44,baseline,0.67683202,-1
45,baseline,0.679935992,-1
46,baseline,0.683008015,-1
47,baseline,0.706560016,-1
48,baseline,0.692224026,-1
49,baseline,0.674592018,-1
50,baseline,0.674784005,-1
51,baseline,0.68067199,-1
52,baseline,0.683008015,-1
53,baseline,0.674816012,-1
54,baseline,0.674816012,-1
55,baseline,0.673792005,-1
56,baseline,0.676800013,-1
57,baseline,0.683008015,-1
58,baseline,0.705663979,-1
59,baseline,0.693216026,-1
60,baseline,0.67584002,-1
61,baseline,0.677663982,-1
62,baseline,0.678911984,-1
63,baseline,0.672511995,-1
64,baseline,0.677088022,-1
65,baseline,0.671743989,-1
66,baseline,0.679871976,-1
67,baseline,0.688127995,-1
68,baseline,0.677887976,-1
69,baseline,0.68096,-1
70,baseline,0.708607972,-1
71,baseline,0.700416028,-1
72,baseline,0.67584002,-1
73,baseline,0.675935984,-1
74,baseline,0.680736005,-1
75,baseline,0.680768013,-1
76,baseline,0.681984007,-1
77,baseline,0.698080003,-1
78,baseline,0.67584002,-1
79,baseline,0.674687982,-1
80,baseline,0.674816012,-1
81,baseline,0.684032023,-1
82,baseline,0.729088008,-1
83,baseline,0.697344005,-1
84,baseline,0.673792005,-1
85,baseline,0.676864028,-1
86,baseline,0.680927992,-1
87,baseline,0.677887976,-1
88,baseline,0.67456001,-1
89,baseline,0.715968013,-1
90,baseline,0.699136019,-1
91,baseline,0.685055971,-1
92,baseline,0.674816012,-1
93,baseline,0.692224026,-1
94,baseline,0.732159972,-1
95,baseline,0.689152002,-1
96,baseline,0.678911984,-1
