sample,phase,victim_latency_us,time_since_interference_end_us
0,baseline,14.3360002,-1
1,baseline,13.3119998,-1
2,baseline,9.21600033,-1
3,baseline,8.19199998,-1
4,baseline,9.21600033,-1
5,baseline,14.3360002,-1
6,baseline,13.3119998,-1
7,baseline,12.2880004,-1
8,baseline,12.2880004,-1
9,baseline,10.2399997,-1
10,baseline,8.41599982,-1
11,baseline,8.19199998,-1
12,baseline,10.2399997,-1
13,baseline,15.3599996,-1
14,baseline,13.3119998,-1
15,baseline,10.2399997,-1
16,baseline,11.2640001,-1
17,baseline,8.35200027,-1
18,baseline,8.19199998,-1
19,baseline,9.21600033,-1
20,baseline,8.19199998,-1
21,baseline,11.2640001,-1
22,baseline,12.2880004,-1
23,baseline,11.2640001,-1
24,baseline,13.3119998,-1
25,baseline,11.2640001,-1
26,baseline,9.21600033,-1
27,baseline,8.19199998,-1
28,baseline,9.21600033,-1
29,baseline,9.21600033,-1
30,baseline,11.2640001,-1
31,baseline,10.2399997,-1
32,baseline,12.2880004,-1
33,baseline,12.2880004,-1
34,baseline,12.2880004,-1
35,baseline,10.2399997,-1
36,baseline,8.19199998,-1
37,baseline,8.19199998,-1
38,baseline,9.21600033,-1
39,baseline,9.21600033,-1
40,baseline,12.2880004,-1
41,baseline,12.2880004,-1
42,baseline,10.2399997,-1
43,baseline,8.19199998,-1
44,baseline,8.19199998,-1
45,baseline,9.21600033,-1
46,baseline,9.21600033,-1
47,baseline,8.19199998,-1
48,baseline,8.19199998,-1
49,baseline,8.19199998,-1
50,baseline,9.21600033,-1
51,baseline,25.5999994,-1
52,baseline,8.19199998,-1
53,baseline,8.19199998,-1
54,baseline,8.22400022,-1
55,baseline,8.54399987,-1
56,baseline,8.19199998,-1
57,baseline,8.19199998,-1
58,baseline,8.19199998,-1
59,baseline,8.19199998,-1
60,baseline,8.19199998,-1
61,baseline,8.19199998,-1
62,baseline,8.19199998,-1
63,baseline,8.19199998,-1
64,baseline,9.21600033,-1
65,baseline,8.19199998,-1
66,baseline,8.19199998,-1
67,baseline,8.19199998,-1
68,baseline,8.25599954,-1
69,baseline,8.19199998,-1
70,baseline,8.19199998,-1
71,baseline,10.2399997,-1
72,baseline,8.19199998,-1
73,baseline,8.19199998,-1
74,baseline,8.38399958,-1
75,baseline,8.19199998,-1
76,baseline,8.19199998,-1
77,baseline,8.19199998,-1
78,baseline,8.19199998,-1
79,baseline,8.19199998,-1
80,baseline,8.19199998,-1
81,baseline,8.19199998,-1
82,baseline,8.19199998,-1
83,baseline,8.19199998,-1
84,baseline,8.19199998,-1
85,baseline,8.19199998,-1
86,baseline,8.19199998,-1
87,baseline,8.19199998,-1
88,baseline,8.19199998,-1
89,baseline,8.19199998,-1
90,baseline,8.19199998,-1
91,baseline,8.19199998,-1
92,baseline,8.19199998,-1
93,baseline,8.19199998,-1
94,baseline,8.28799978,-1
95,baseline,8.19199998,-1
96,baseline,8.19199998,-1
97,baseline,8.19199998,-1
98,baseline,8.19199998,-1
99,baseline,8.19199998,-1
100,recovery,10.2399997,4.09599999
101,recovery,9.21600033,18.4320007
102,recovery,9.21600033,29.6960007
103,recovery,11.2640001,40.959999
104,recovery,9.21600033,56.3200004
105,recovery,9.21600033,67.5840005
106,recovery,8.19199998,79.8719972
107,recovery,8.19199998,90.1120007
108,recovery,8.19199998,99.3279964
109,recovery,8.19199998,108.543999
110,recovery,8.19199998,118.784003
111,recovery,11.2640001,130.048007
112,recovery,10.2399997,143.360004
113,recovery,9.21600033,156.672001
114,recovery,9.21600033,167.935997
115,recovery,8.19199998,179.199994
116,recovery,10.2399997,189.439997
117,recovery,9.21600033,201.728001
118,recovery,8.38399958,211.968005
119,recovery,8.19199998,222.207993
120,recovery,8.19199998,232.447997
121,recovery,9.21600033,243.711993
122,recovery,9.21600033,253.951997
123,recovery,10.2399997,265.215993
124,recovery,9.21600033,277.503997
125,recovery,9.21600033,288.767993
126,recovery,9.21600033,300.03199
127,recovery,9.21600033,311.295986
128,recovery,9.21600033,322.560012
129,recovery,8.19199998,332.800001
130,recovery,8.19199998,343.039989
131,recovery,8.19199998,352.256
132,recovery,9.21600033,362.495989
133,recovery,9.21600033,374.783993
134,recovery,11.2640001,387.071997
135,recovery,12.2880004,401.407987
136,recovery,9.21600033,416.768014
137,recovery,9.21600033,428.032011
138,recovery,9.21600033,439.296007
139,recovery,8.19199998,449.535996
140,recovery,8.19199998,459.776014
141,recovery,8.19199998,468.991995
142,recovery,9.21600033,479.232013
143,recovery,10.2399997,490.49601
144,recovery,9.21600033,502.784014
145,recovery,10.2399997,514.04798
146,recovery,11.2640001,528.38397
147,recovery,11.2640001,545.791984
148,recovery,8.38399958,563.199997
149,recovery,8.19199998,573.440015
150,recovery,8.19199998,583.679974
151,recovery,10.2399997,592.895985
152,recovery,10.2399997,605.184019
153,recovery,11.2640001,621.568024
154,recovery,9.21600033,634.880006
155,recovery,8.19199998,647.167981
156,recovery,9.21600033,658.432007
157,recovery,9.21600033,670.719981
158,recovery,8.19199998,683.008015
159,recovery,8.19199998,693.247974
160,recovery,8.38399958,702.463984
161,recovery,8.19199998,713.728011
162,recovery,9.21600033,723.968029
163,recovery,11.2640001,737.280011
164,recovery,13.3119998,754.688025
165,recovery,13.3119998,774.143994
166,recovery,10.2399997,793.600023
167,recovery,9.21600033,805.887997
168,recovery,8.19199998,817.152023
169,recovery,8.19199998,827.391982
170,recovery,11.2640001,836.607993
171,recovery,14.3360002,854.016006
172,recovery,13.3119998,874.495983
173,recovery,11.2640001,892.928004
174,recovery,12.2880004,910.336018
175,recovery,10.2399997,928.767979
176,recovery,8.19199998,941.056013
177,recovery,8.19199998,950.272024
178,recovery,9.21600033,960.511982
179,recovery,11.2640001,971.776009
180,recovery,13.3119998,986.111999
181,recovery,12.2880004,1004.54402
182,recovery,13.3119998,1022.97604
183,recovery,12.2880004,1041.40794
184,recovery,9.21600033,1056.76794
185,recovery,8.19199998,1067.00802
186,recovery,8.19199998,1077.24798
187,recovery,12.2880004,1087.48806
188,recovery,12.2880004,1105.91996
189,recovery,13.3119998,1124.35198
190,recovery,12.2880004,1143.80801
191,recovery,13.3119998,1162.24003
192,recovery,11.2640001,1180.67205
193,recovery,9.21600033,1193.98403
194,recovery,9.21600033,1204.22399
195,recovery,12.2880004,1217.53597
196,recovery,13.3119998,1234.94399
197,recovery,12.2880004,1253.37601
198,recovery,11.2640001,1271.80803
199,recovery,10.2399997,1289.21604
