sample,phase,victim_latency_us,time_since_interference_end_us
0,baseline,13.3119998,-1
1,baseline,13.3119998,-1
2,baseline,13.3119998,-1
3,baseline,13.3119998,-1
4,baseline,14.3360002,-1
5,baseline,13.3119998,-1
6,baseline,22.5280002,-1
7,baseline,13.3119998,-1
8,baseline,13.3119998,-1
9,baseline,13.3119998,-1
10,baseline,13.3119998,-1
11,baseline,13.3119998,-1
12,baseline,13.3440001,-1
13,baseline,13.3119998,-1
14,baseline,13.3119998,-1
15,baseline,13.3119998,-1
16,baseline,13.3119998,-1
17,baseline,12.2880004,-1
18,baseline,13.3119998,-1
19,baseline,13.3119998,-1
20,baseline,12.2880004,-1
21,baseline,13.3119998,-1
22,baseline,13.3119998,-1
23,baseline,13.3119998,-1
24,baseline,13.3119998,-1
25,baseline,12.2880004,-1
26,baseline,12.2880004,-1
27,baseline,13.3119998,-1
28,baseline,13.3119998,-1
29,baseline,13.3119998,-1
30,baseline,12.48,-1
31,baseline,36.8640013,-1
32,baseline,13.3119998,-1
33,baseline,13.3119998,-1
34,baseline,13.3119998,-1
35,baseline,12.2880004,-1
36,baseline,12.2880004,-1
37,baseline,12.2880004,-1
38,baseline,12.2880004,-1
39,baseline,12.2880004,-1
40,baseline,12.48,-1
41,baseline,12.5759998,-1
42,baseline,12.2880004,-1
43,baseline,13.3119998,-1
44,baseline,13.3119998,-1
45,baseline,13.3119998,-1
46,baseline,12.48,-1
47,baseline,12.2880004,-1
48,baseline,12.2880004,-1
49,baseline,12.2880004,-1
50,baseline,12.2880004,-1
51,baseline,12.6719996,-1
52,baseline,12.6080001,-1
53,baseline,12.5759998,-1
54,baseline,12.2880004,-1
55,baseline,12.4479998,-1
56,baseline,12.2880004,-1
57,baseline,12.2880004,-1
58,baseline,12.3199997,-1
59,baseline,12.2880004,-1
60,baseline,12.352,-1
61,baseline,12.2880004,-1
62,baseline,13.3119998,-1
63,baseline,13.3119998,-1
64,baseline,13.3119998,-1
65,baseline,13.3119998,-1
66,baseline,13.3119998,-1
67,baseline,13.3119998,-1
68,baseline,13.3119998,-1
69,baseline,13.4399999,-1
70,baseline,13.3119998,-1
71,baseline,13.3119998,-1
72,baseline,13.3440001,-1
73,baseline,12.2880004,-1
74,baseline,13.3119998,-1
75,baseline,13.3119998,-1
76,baseline,13.3119998,-1
77,baseline,13.3119998,-1
78,baseline,13.3119998,-1
79,baseline,13.3119998,-1
80,baseline,13.3119998,-1
81,baseline,13.3119998,-1
82,baseline,13.3119998,-1
83,baseline,34.8160006,-1
84,baseline,13.3119998,-1
85,baseline,13.3119998,-1
86,baseline,13.3119998,-1
87,baseline,13.3119998,-1
88,baseline,13.3119998,-1
89,baseline,13.3119998,-1
90,baseline,13.3119998,-1
91,baseline,13.3119998,-1
92,baseline,13.3119998,-1
93,baseline,13.3119998,-1
94,baseline,13.3119998,-1
95,baseline,14.3360002,-1
96,baseline,13.3119998,-1
97,baseline,13.3119998,-1
98,baseline,12.2880004,-1
99,baseline,13.3119998,-1
100,recovery,31.7439996,11.2640001
101,recovery,14.3360002,46.0800007
102,recovery,13.3119998,61.4399984
103,recovery,16.384,76.8000036
104,recovery,16.384,100.351997
105,recovery,16.384,122.879997
106,recovery,17.4080003,143.360004
107,recovery,14.3360002,166.912004
108,recovery,12.2880004,183.295995
109,recovery,13.3119998,197.632
110,recovery,14.3360002,211.968005
111,recovery,20.4799995,233.472005
112,recovery,17.4080003,259.072006
113,recovery,17.4080003,282.624006
114,recovery,14.3360002,306.176007
115,recovery,13.3119998,322.560012
116,recovery,13.3119998,336.896002
117,recovery,13.3119998,351.231992
118,recovery,13.3119998,366.59199
119,recovery,18.4320007,384.000003
120,recovery,17.4080003,407.552004
121,recovery,18.4320007,431.104004
122,recovery,15.3599996,456.703991
123,recovery,13.3119998,474.112004
124,recovery,13.3119998,489.472002
125,recovery,16.384,504.832029
