sample,phase,victim_latency_us,time_since_interference_end_us
0,baseline,9.21600033,-1
1,baseline,9.21600033,-1
2,baseline,9.53599997,-1
3,baseline,9.21600033,-1
4,baseline,9.21600033,-1
5,baseline,9.21600033,-1
6,baseline,10.2399997,-1
7,baseline,9.21600033,-1
8,baseline,9.21600033,-1
9,baseline,9.21600033,-1
10,baseline,9.21600033,-1
11,baseline,9.21600033,-1
12,baseline,9.21600033,-1
13,baseline,9.21600033,-1
14,baseline,9.21600033,-1
15,baseline,9.21600033,-1
16,baseline,9.21600033,-1
17,baseline,9.21600033,-1
18,baseline,9.21600033,-1
19,baseline,9.21600033,-1
20,baseline,10.2399997,-1
21,baseline,9.21600033,-1
22,baseline,9.21600033,-1
23,baseline,9.21600033,-1
24,baseline,9.24799964,-1
25,baseline,9.21600033,-1
26,baseline,9.21600033,-1
27,baseline,9.21600033,-1
28,baseline,9.21600033,-1
29,baseline,9.24799964,-1
30,baseline,9.21600033,-1
31,baseline,9.21600033,-1
32,baseline,9.21600033,-1
33,baseline,9.21600033,-1
34,baseline,9.21600033,-1
35,baseline,9.21600033,-1
36,baseline,9.21600033,-1
37,baseline,9.21600033,-1
38,baseline,9.21600033,-1
39,baseline,9.21600033,-1
40,baseline,10.2399997,-1
41,baseline,10.2399997,-1
42,baseline,10.2399997,-1
43,baseline,10.2399997,-1
44,baseline,9.21600033,-1
45,baseline,9.21600033,-1
46,baseline,9.21600033,-1
47,baseline,9.31200013,-1
48,baseline,10.2399997,-1
49,baseline,9.21600033,-1
50,baseline,9.21600033,-1
51,baseline,10.2399997,-1
52,baseline,9.21600033,-1
53,baseline,9.21600033,-1
54,baseline,9.21600033,-1
55,baseline,9.21600033,-1
56,baseline,9.40799993,-1
57,baseline,9.21600033,-1
58,baseline,9.21600033,-1
59,baseline,9.27999988,-1
60,baseline,9.21600033,-1
61,baseline,10.2399997,-1
62,baseline,9.21600033,-1
63,baseline,10.2399997,-1
64,baseline,10.2399997,-1
65,baseline,9.21600033,-1
66,baseline,10.2399997,-1
67,baseline,9.21600033,-1
68,baseline,9.21600033,-1
69,baseline,9.21600033,-1
70,baseline,9.21600033,-1
71,baseline,10.2399997,-1
72,baseline,9.21600033,-1
73,baseline,9.21600033,-1
74,baseline,10.2399997,-1
75,baseline,10.2399997,-1
76,baseline,9.44000017,-1
77,baseline,10.2399997,-1
78,baseline,10.2399997,-1
79,baseline,9.21600033,-1
80,baseline,9.37599968,-1
81,baseline,9.21600033,-1
