sample,phase,victim_latency_us,time_since_interference_end_us
0,baseline,9.21600033,-1
1,baseline,9.53599997,-1
2,baseline,9.21600033,-1
3,baseline,9.21600033,-1
4,baseline,9.21600033,-1
5,baseline,9.21600033,-1
6,baseline,9.21600033,-1
7,baseline,10.2399997,-1
8,baseline,9.21600033,-1
9,baseline,9.21600033,-1
10,baseline,10.2399997,-1
11,baseline,9.21600033,-1
12,baseline,9.21600033,-1
13,baseline,9.21600033,-1
14,baseline,9.21600033,-1
15,baseline,28.6720004,-1
16,baseline,9.24799964,-1
17,baseline,9.21600033,-1
18,baseline,9.21600033,-1
19,baseline,9.21600033,-1
20,baseline,9.21600033,-1
21,baseline,9.21600033,-1
22,baseline,9.21600033,-1
23,baseline,10.2399997,-1
24,baseline,9.21600033,-1
25,baseline,9.21600033,-1
26,baseline,9.21600033,-1
27,baseline,9.21600033,-1
28,baseline,10.2399997,-1
29,baseline,10.2399997,-1
30,baseline,10.2399997,-1
31,baseline,9.21600033,-1
32,baseline,9.44000017,-1
33,baseline,9.21600033,-1
34,baseline,9.21600033,-1
35,baseline,9.21600033,-1
36,baseline,9.21600033,-1
37,baseline,10.2399997,-1
38,baseline,9.21600033,-1
39,baseline,9.27999988,-1
40,baseline,9.21600033,-1
41,baseline,9.21600033,-1
42,baseline,9.21600033,-1
43,baseline,10.2399997,-1
44,baseline,9.37599968,-1
45,baseline,9.21600033,-1
46,baseline,9.21600033,-1
47,baseline,9.21600033,-1
48,baseline,10.2399997,-1
49,baseline,10.2399997,-1
50,baseline,10.2399997,-1
51,baseline,10.2399997,-1
52,baseline,10.2399997,-1
53,baseline,9.50399972,-1
54,baseline,9.21600033,-1
55,baseline,9.37599968,-1
56,baseline,9.21600033,-1
57,baseline,9.21600033,-1
58,baseline,10.2399997,-1
59,baseline,9.24799964,-1
60,baseline,9.21600033,-1
61,baseline,9.21600033,-1
62,baseline,9.21600033,-1
63,baseline,9.24799964,-1
64,baseline,9.21600033,-1
65,baseline,10.2399997,-1
66,baseline,10.2399997,-1
67,baseline,10.2399997,-1
68,baseline,10.2399997,-1
69,baseline,10.2399997,-1
70,baseline,9.21600033,-1
71,baseline,9.21600033,-1
72,baseline,9.21600033,-1
73,baseline,10.2399997,-1
74,baseline,10.2399997,-1
75,baseline,9.21600033,-1
76,baseline,9.21600033,-1
77,baseline,9.21600033,-1
78,baseline,9.21600033,-1
79,baseline,10.2399997,-1
80,baseline,9.21600033,-1
81,baseline,9.21600033,-1
82,baseline,9.21600033,-1
83,baseline,10.2399997,-1
84,baseline,10.2399997,-1
85,baseline,9.21600033,-1
86,baseline,10.2399997,-1
87,baseline,10.2399997,-1
88,baseline,10.2399997,-1
89,baseline,10.2399997,-1
90,baseline,9.21600033,-1
91,baseline,9.21600033,-1
92,baseline,9.21600033,-1
93,baseline,10.2399997,-1
94,baseline,10.2399997,-1
95,baseline,10.2399997,-1
96,baseline,9.21600033,-1
97,baseline,9.21600033,-1
98,baseline,9.21600033,-1
99,baseline,9.21600033,-1
100,recovery,10.2399997,3.07200011
101,recovery,10.2399997,15.3599996
102,recovery,9.21600033,26.6239997
103,recovery,10.2399997,36.8640013
104,recovery,10.2399997,48.1280014
105,recovery,9.21600033,59.3920015
106,recovery,9.21600033,69.6320012
107,recovery,9.21600033,80.8959976
108,recovery,9.44000017,91.1360011
109,recovery,9.21600033,102.399997
110,recovery,9.21600033,112.640001
111,recovery,9.21600033,123.903997
112,recovery,9.21600033,134.143993
113,recovery,9.21600033,145.408005
114,recovery,9.21600033,155.647993
115,recovery,9.21600033,165.887997
116,recovery,9.21600033,176.128
117,recovery,9.21600033,187.391996
118,recovery,9.21600033,197.632
119,recovery,9.21600033,207.872003
120,recovery,8.19199998,219.136
121,recovery,9.21600033,229.376003
122,recovery,9.21600033,239.616007
123,recovery,9.21600033,249.855995
124,recovery,9.21600033,261.119992
125,recovery,9.21600033,271.36001
126,recovery,9.21600033,281.599998
127,recovery,9.27999988,291.839987
128,recovery,9.50399972,302.080005
129,recovery,9.21600033,313.344002
130,recovery,9.21600033,323.58399
131,recovery,9.21600033,333.824009
132,recovery,9.21600033,345.088005
133,recovery,9.21600033,355.327994
134,recovery,9.21600033,365.568012
135,recovery,9.21600033,376.832008
136,recovery,9.21600033,387.071997
137,recovery,9.21600033,397.311985
138,recovery,9.21600033,407.552004
139,recovery,9.21600033,418.816
140,recovery,9.21600033,429.055989
141,recovery,9.21600033,439.296007
142,recovery,8.19199998,450.560004
143,recovery,9.21600033,460.799992
144,recovery,9.21600033,471.04001
145,recovery,9.50399972,481.279999
146,recovery,9.21600033,492.543995
147,recovery,9.21600033,502.784014
148,recovery,9.21600033,513.023973
149,recovery,8.19199998,524.287999
150,recovery,9.21600033,534.528017
151,recovery,9.24799964,544.767976
152,recovery,9.21600033,556.032002
153,recovery,9.21600033,566.27202
154,recovery,9.21600033,576.511979
155,recovery,9.44000017,586.751997
156,recovery,9.21600033,598.016024
157,recovery,9.21600033,608.255982
158,recovery,9.21600033,618.496001
159,recovery,9.21600033,628.736019
160,recovery,9.21600033,639.999986
161,recovery,9.21600033,650.240004
162,recovery,9.21600033,661.503971
163,recovery,9.21600033,671.743989
164,recovery,9.21600033,681.984007
165,recovery,9.21600033,692.224026
166,recovery,9.21600033,703.487992
167,recovery,9.34400037,713.728011
168,recovery,9.21600033,724.991977
169,recovery,9.21600033,735.231996
170,recovery,9.21600033,745.472014
171,recovery,9.21600033,756.735981
172,recovery,9.21600033,766.975999
173,recovery,9.21600033,777.216017
174,recovery,9.44000017,787.455976
175,recovery,9.21600033,798.720002
176,recovery,9.21600033,808.960021
177,recovery,9.40799993,819.199979
178,recovery,9.21600033,830.464005
179,recovery,9.21600033,840.704024
180,recovery,9.21600033,850.943983
181,recovery,9.21600033,861.184001
182,recovery,8.19199998,872.448027
183,recovery,9.21600033,882.687986
184,recovery,9.21600033,892.928004
185,recovery,9.21600033,903.168023
186,recovery,9.21600033,914.431989
187,recovery,9.21600033,924.672008
188,recovery,9.47200041,934.912026
189,recovery,9.21600033,946.175992
190,recovery,9.21600033,956.416011
191,recovery,9.21600033,966.656029
192,recovery,9.21600033,976.895988
193,recovery,9.21600033,988.160014
194,recovery,9.21600033,998.399973
195,recovery,9.21600033,1008.64005
196,recovery,9.21600033,1018.88001
197,recovery,8.19199998,1030.14398
198,recovery,9.21600033,1040.38405
199,recovery,9.21600033,1050.62401
