sample,phase,victim_latency_us,time_since_interference_end_us
0,baseline,12.2880004,-1
1,baseline,12.2880004,-1
2,baseline,13.3119998,-1
3,baseline,13.3119998,-1
4,baseline,13.3119998,-1
5,baseline,13.3119998,-1
6,baseline,13.3119998,-1
7,baseline,13.3119998,-1
8,baseline,13.3119998,-1
9,baseline,13.3119998,-1
10,baseline,13.3119998,-1
11,baseline,13.3119998,-1
12,baseline,13.3119998,-1
13,baseline,13.3119998,-1
14,baseline,13.3119998,-1
15,baseline,12.2880004,-1
16,baseline,13.3119998,-1
17,baseline,13.3119998,-1
18,baseline,13.3119998,-1
19,baseline,13.3119998,-1
20,baseline,12.5120003,-1
21,baseline,13.3119998,-1
22,baseline,13.3119998,-1
23,baseline,13.3119998,-1
24,baseline,13.3119998,-1
25,baseline,13.3119998,-1
26,baseline,13.3119998,-1
27,baseline,12.2880004,-1
28,baseline,13.3119998,-1
29,baseline,13.3119998,-1
30,baseline,13.3119998,-1
31,baseline,14.3360002,-1
32,baseline,13.3119998,-1
33,baseline,12.48,-1
34,baseline,13.3119998,-1
35,baseline,13.3119998,-1
36,baseline,13.3119998,-1
37,baseline,13.3119998,-1
38,baseline,13.3119998,-1
39,baseline,13.3119998,-1
40,baseline,13.3119998,-1
41,baseline,13.3119998,-1
42,baseline,13.3119998,-1
43,baseline,13.3119998,-1
44,baseline,12.2880004,-1
45,baseline,13.3119998,-1
46,baseline,13.3119998,-1
47,baseline,13.3119998,-1
48,baseline,13.3119998,-1
49,baseline,13.3119998,-1
50,baseline,13.3119998,-1
51,baseline,12.2880004,-1
52,baseline,13.3119998,-1
53,baseline,12.2880004,-1
54,baseline,12.2880004,-1
55,baseline,13.3119998,-1
56,baseline,13.3119998,-1
57,baseline,13.3119998,-1
58,baseline,13.3119998,-1
59,baseline,13.3119998,-1
60,baseline,12.352,-1
61,baseline,13.3119998,-1
62,baseline,12.3840002,-1
63,baseline,13.3119998,-1
64,baseline,13.3119998,-1
65,baseline,13.3119998,-1
66,baseline,13.3119998,-1
67,baseline,12.352,-1
68,baseline,13.3119998,-1
69,baseline,13.3119998,-1
70,baseline,13.3119998,-1
71,baseline,12.4159995,-1
72,baseline,12.2880004,-1
73,baseline,12.2880004,-1
74,baseline,13.3119998,-1
75,baseline,13.3119998,-1
76,baseline,13.3119998,-1
77,baseline,13.3119998,-1
78,baseline,13.3119998,-1
79,baseline,13.3119998,-1
80,baseline,13.3119998,-1
81,baseline,13.3119998,-1
82,baseline,12.2880004,-1
83,baseline,12.2880004,-1
84,baseline,13.3119998,-1
85,baseline,13.3119998,-1
86,baseline,13.3119998,-1
87,baseline,13.3119998,-1
88,baseline,13.3119998,-1
89,baseline,13.3119998,-1
90,baseline,12.2880004,-1
91,baseline,12.2880004,-1
92,baseline,12.2880004,-1
93,baseline,13.3119998,-1
94,baseline,12.4479998,-1
95,baseline,12.2880004,-1
96,baseline,12.2880004,-1
97,baseline,12.5439996,-1
98,baseline,13.3119998,-1
99,baseline,12.2880004,-1
100,recovery,13.3119998,2.04799999
101,recovery,12.5120003,17.4080003
102,recovery,12.4159995,31.7439996
103,recovery,13.3119998,46.0800007
104,recovery,13.3119998,60.4160018
105,recovery,13.3119998,74.752003
106,recovery,13.3119998,89.0880004
107,recovery,12.2880004,103.423998
108,recovery,12.2880004,117.760003
109,recovery,12.2880004,132.095993
110,recovery,13.3119998,145.408005
111,recovery,13.3119998,159.743994
112,recovery,13.3119998,174.079999
113,recovery,13.3119998,188.416004
114,recovery,13.3119998,202.751994
115,recovery,13.3119998,217.087999
116,recovery,13.3119998,231.424004
117,recovery,13.3119998,245.759994
118,recovery,13.3119998,260.096014
119,recovery,13.3119998,274.432003
120,recovery,13.3119998,289.792001
121,recovery,13.3119998,304.127991
122,recovery,13.3119998,318.464011
123,recovery,13.3119998,332.800001
124,recovery,13.3119998,347.135991
125,recovery,12.2880004,362.495989
126,recovery,13.3119998,376.832008
127,recovery,13.3119998,391.167998
128,recovery,13.3119998,406.527996
129,recovery,13.3119998,420.863986
130,recovery,13.3119998,435.200006
131,recovery,12.4159995,450.560004
132,recovery,13.3119998,464.895993
133,recovery,13.3119998,479.232013
134,recovery,13.3119998,493.568003
135,recovery,12.2880004,508.928001
136,recovery,13.3119998,523.263991
137,recovery,13.3119998,537.599981
138,recovery,13.3119998,551.935971
139,recovery,13.3119998,566.27202
