sample,phase,victim_latency_us,time_since_interference_end_us
0,baseline,9.21600033,-1
1,baseline,9.21600033,-1
2,baseline,22.5280002,-1
3,baseline,9.21600033,-1
4,baseline,9.21600033,-1
5,baseline,9.21600033,-1
6,baseline,9.21600033,-1
7,baseline,10.2399997,-1
8,baseline,9.24799964,-1
9,baseline,9.21600033,-1
10,baseline,9.21600033,-1
11,baseline,9.21600033,-1
12,baseline,10.2399997,-1
13,baseline,10.2399997,-1
14,baseline,9.21600033,-1
15,baseline,10.2399997,-1
16,baseline,9.21600033,-1
17,baseline,9.21600033,-1
18,baseline,9.37599968,-1
19,baseline,9.21600033,-1
20,baseline,10.2399997,-1
21,baseline,9.21600033,-1
22,baseline,9.21600033,-1
23,baseline,10.2399997,-1
24,baseline,9.21600033,-1
25,baseline,10.2399997,-1
26,baseline,10.2399997,-1
27,baseline,10.2399997,-1
28,baseline,9.21600033,-1
29,baseline,9.21600033,-1
30,baseline,9.21600033,-1
31,baseline,27.648,-1
32,baseline,9.21600033,-1
33,baseline,9.21600033,-1
34,baseline,9.31200013,-1
35,baseline,9.21600033,-1
36,baseline,10.2399997,-1
37,baseline,9.21600033,-1
38,baseline,9.21600033,-1
39,baseline,10.2399997,-1
40,baseline,9.21600033,-1
41,baseline,9.21600033,-1
42,baseline,9.21600033,-1
43,baseline,9.21600033,-1
44,baseline,9.21600033,-1
45,baseline,9.21600033,-1
46,baseline,9.21600033,-1
47,baseline,9.21600033,-1
48,baseline,9.21600033,-1
49,baseline,9.21600033,-1
50,baseline,8.19199998,-1
51,baseline,9.21600033,-1
52,baseline,9.21600033,-1
53,baseline,9.21600033,-1
54,baseline,9.34400037,-1
55,baseline,9.21600033,-1
56,baseline,9.21600033,-1
57,baseline,9.21600033,-1
58,baseline,9.21600033,-1
59,baseline,9.37599968,-1
60,baseline,9.21600033,-1
61,baseline,9.21600033,-1
62,baseline,9.21600033,-1
63,baseline,9.21600033,-1
64,baseline,9.21600033,-1
65,baseline,9.21600033,-1
66,baseline,9.21600033,-1
67,baseline,9.21600033,-1
68,baseline,10.2399997,-1
69,baseline,10.2399997,-1
70,baseline,10.2399997,-1
71,baseline,9.31200013,-1
72,baseline,9.21600033,-1
73,baseline,9.21600033,-1
74,baseline,9.21600033,-1
75,baseline,9.21600033,-1
76,baseline,9.34400037,-1
77,baseline,9.21600033,-1
78,baseline,9.21600033,-1
79,baseline,10.2399997,-1
80,baseline,9.21600033,-1
81,baseline,9.21600033,-1
