sample,phase,victim_latency_us,time_since_interference_end_us
0,baseline,10.2399997,-1
1,baseline,10.2399997,-1
2,baseline,9.21600033,-1
3,baseline,9.21600033,-1
4,baseline,10.2399997,-1
5,baseline,12.2880004,-1
6,baseline,11.2640001,-1
7,baseline,10.2399997,-1
8,baseline,12.2880004,-1
9,baseline,12.2880004,-1
10,baseline,9.21600033,-1
11,baseline,9.21600033,-1
12,baseline,10.2399997,-1
13,baseline,14.3360002,-1
14,baseline,13.3119998,-1
15,baseline,12.2880004,-1
16,baseline,11.2640001,-1
17,baseline,12.2880004,-1
18,baseline,11.2640001,-1
19,baseline,9.21600033,-1
20,baseline,9.21600033,-1
21,baseline,10.2399997,-1
22,baseline,10.2399997,-1
23,baseline,12.2880004,-1
24,baseline,10.2399997,-1
25,baseline,11.2640001,-1
26,baseline,10.2399997,-1
27,baseline,10.2399997,-1
28,baseline,9.21600033,-1
29,baseline,9.47200041,-1
30,baseline,10.2399997,-1
31,baseline,9.21600033,-1
32,baseline,11.2640001,-1
33,baseline,15.3599996,-1
34,baseline,13.3119998,-1
35,baseline,13.3119998,-1
36,baseline,10.2399997,-1
37,baseline,11.2640001,-1
38,baseline,11.2640001,-1
39,baseline,12.2880004,-1
40,baseline,13.3119998,-1
41,baseline,14.3360002,-1
42,baseline,12.2880004,-1
43,baseline,10.2399997,-1
44,baseline,9.21600033,-1
45,baseline,11.2640001,-1
46,baseline,11.2640001,-1
47,baseline,10.2399997,-1
48,baseline,10.2399997,-1
49,baseline,11.2640001,-1
50,baseline,12.2880004,-1
51,baseline,10.2399997,-1
52,baseline,9.21600033,-1
53,baseline,9.21600033,-1
54,baseline,10.2399997,-1
55,baseline,10.2399997,-1
56,baseline,13.3119998,-1
57,baseline,16.384,-1
58,baseline,13.3119998,-1
59,baseline,11.2640001,-1
60,baseline,9.21600033,-1
61,baseline,10.2399997,-1
62,baseline,10.2399997,-1
63,baseline,12.2880004,-1
64,baseline,14.3360002,-1
65,baseline,15.3599996,-1
66,baseline,13.3119998,-1
67,baseline,12.2880004,-1
68,baseline,10.2399997,-1
69,baseline,11.2640001,-1
70,baseline,9.21600033,-1
71,baseline,10.2399997,-1
72,baseline,10.2399997,-1
73,baseline,9.21600033,-1
74,baseline,10.2399997,-1
75,baseline,10.2399997,-1
76,baseline,9.21600033,-1
77,baseline,10.2399997,-1
78,baseline,9.21600033,-1
79,baseline,9.24799964,-1
80,baseline,9.21600033,-1
81,baseline,10.2399997,-1
82,baseline,10.2399997,-1
83,baseline,10.2399997,-1
84,baseline,9.21600033,-1
85,baseline,14.3360002,-1
86,baseline,13.3119998,-1
87,baseline,11.2640001,-1
88,baseline,11.2640001,-1
89,baseline,12.2880004,-1
90,baseline,12.2880004,-1
91,baseline,9.21600033,-1
92,baseline,9.21600033,-1
93,baseline,11.2640001,-1
94,baseline,12.2880004,-1
95,baseline,14.3360002,-1
96,baseline,14.3360002,-1
97,baseline,12.2880004,-1
98,baseline,11.2640001,-1
99,baseline,10.2399997,-1
100,recovery,11.2640001,4.09599999
101,recovery,10.2399997,18.4320007
102,recovery,10.2399997,29.6960007
103,recovery,12.2880004,40.959999
104,recovery,10.2399997,55.2960001
105,recovery,11.2640001,67.5840005
106,recovery,13.3119998,82.9439983
107,recovery,13.3119998,100.351997
108,recovery,11.2640001,117.760003
109,recovery,10.2399997,131.072
110,recovery,9.21600033,142.335996
111,recovery,10.2399997,152.575999
112,recovery,10.2399997,163.839996
113,recovery,10.2399997,176.128
114,recovery,10.2399997,188.416004
115,recovery,11.2640001,200.703993
116,recovery,10.2399997,214.016005
117,recovery,10.2399997,227.328002
118,recovery,10.2399997,239.616007
119,recovery,9.21600033,250.880003
120,recovery,9.21600033,261.119992
121,recovery,9.21600033,272.383988
122,recovery,10.2399997,282.624006
123,recovery,10.2399997,293.888003
124,recovery,10.2399997,307.200015
125,recovery,13.3119998,322.560012
126,recovery,10.2399997,343.039989
127,recovery,10.2399997,356.352001
128,recovery,11.2640001,368.640006
129,recovery,9.21600033,382.975996
130,recovery,10.2399997,393.216014
