sample,phase,victim_latency_us,time_since_interference_end_us
0,baseline,10.2080004,-1
1,baseline,10.2399997,-1
2,baseline,10.2399997,-1
3,baseline,10.2399997,-1
4,baseline,10.2399997,-1
5,baseline,9.21600033,-1
6,baseline,9.31200013,-1
7,baseline,10.2399997,-1
8,baseline,10.2399997,-1
9,baseline,10.2399997,-1
10,baseline,10.2399997,-1
11,baseline,10.2399997,-1
12,baseline,10.2399997,-1
13,baseline,10.2399997,-1
14,baseline,10.2399997,-1
15,baseline,10.272,-1
16,baseline,9.27999988,-1
17,baseline,9.34400037,-1
18,baseline,10.2399997,-1
19,baseline,10.2399997,-1
20,baseline,10.2399997,-1
21,baseline,10.2399997,-1
22,baseline,10.2399997,-1
23,baseline,10.2399997,-1
24,baseline,9.21600033,-1
25,baseline,9.21600033,-1
26,baseline,9.21600033,-1
27,baseline,9.21600033,-1
28,baseline,9.37599968,-1
29,baseline,9.21600033,-1
30,baseline,10.2399997,-1
31,baseline,10.2399997,-1
32,baseline,10.2399997,-1
33,baseline,10.2399997,-1
34,baseline,10.2399997,-1
35,baseline,10.2399997,-1
36,baseline,9.27999988,-1
37,baseline,9.50399972,-1
38,baseline,10.2399997,-1
39,baseline,10.2399997,-1
40,baseline,10.2399997,-1
41,baseline,10.2399997,-1
42,baseline,10.2399997,-1
43,baseline,9.24799964,-1
44,baseline,9.21600033,-1
45,baseline,9.21600033,-1
46,baseline,9.37599968,-1
47,baseline,9.21600033,-1
48,baseline,9.44000017,-1
49,baseline,9.21600033,-1
50,baseline,10.2399997,-1
51,baseline,10.2399997,-1
52,baseline,10.2399997,-1
53,baseline,10.2399997,-1
54,baseline,10.2399997,-1
55,baseline,10.2399997,-1
56,baseline,9.24799964,-1
57,baseline,10.2399997,-1
58,baseline,10.2399997,-1
59,baseline,10.2399997,-1
60,baseline,10.2399997,-1
61,baseline,10.2399997,-1
62,baseline,10.2399997,-1
63,baseline,10.2399997,-1
64,baseline,10.2399997,-1
65,baseline,10.2399997,-1
66,baseline,9.21600033,-1
67,baseline,9.34400037,-1
68,baseline,9.21600033,-1
69,baseline,10.2399997,-1
70,baseline,10.2399997,-1
71,baseline,10.2399997,-1
72,baseline,10.2399997,-1
73,baseline,10.2399997,-1
74,baseline,10.2399997,-1
75,baseline,9.21600033,-1
76,baseline,9.40799993,-1
77,baseline,9.44000017,-1
78,baseline,9.47200041,-1
79,baseline,9.21600033,-1
80,baseline,10.2399997,-1
81,baseline,10.2399997,-1
82,baseline,10.2399997,-1
83,baseline,10.2399997,-1
84,baseline,10.2399997,-1
85,baseline,10.2399997,-1
86,baseline,10.2399997,-1
87,baseline,10.2399997,-1
88,baseline,10.2399997,-1
89,baseline,10.2399997,-1
90,baseline,9.24799964,-1
91,baseline,9.27999988,-1
92,baseline,9.34400037,-1
93,baseline,9.21600033,-1
94,baseline,10.2399997,-1
95,baseline,10.2399997,-1
96,baseline,10.2399997,-1
97,baseline,10.2399997,-1
98,baseline,10.2399997,-1
99,baseline,10.2399997,-1
100,recovery,10.4320003,2.04799999
101,recovery,10.2399997,14.3360002
102,recovery,10.2399997,25.5999994
103,recovery,10.2399997,37.8880017
104,recovery,9.21600033,50.1759984
105,recovery,9.21600033,61.4399984
106,recovery,10.2399997,72.7040023
107,recovery,10.2399997,83.9679986
108,recovery,10.2399997,95.2320024
109,recovery,9.21600033,107.519999
110,recovery,9.21600033,118.784003
111,recovery,10.2399997,130.048007
112,recovery,10.2399997,141.312003
113,recovery,9.34400037,153.600007
114,recovery,10.2399997,164.864004
115,recovery,10.2399997,176.128
116,recovery,10.2399997,187.391996
117,recovery,9.21600033,199.680001
118,recovery,10.2399997,210.943997
119,recovery,10.2399997,222.207993
120,recovery,10.2399997,234.495997
121,recovery,10.2399997,245.759994
122,recovery,10.2399997,257.02399
123,recovery,9.21600033,269.311994
124,recovery,9.21600033,280.575991
125,recovery,10.2399997,291.839987
126,recovery,10.2399997,303.104013
127,recovery,10.2399997,314.36801
128,recovery,9.21600033,326.656014
129,recovery,10.2399997,337.92001
130,recovery,10.2399997,349.184006
131,recovery,9.21600033,361.472011
132,recovery,10.2399997,372.736007
133,recovery,10.2399997,384.000003
134,recovery,9.21600033,396.288007
135,recovery,10.2399997,407.552004
136,recovery,10.2399997,418.816
137,recovery,9.40799993,431.104004
138,recovery,10.2399997,442.368001
139,recovery,10.2399997,453.631997
140,recovery,10.2399997,464.895993
141,recovery,9.21600033,477.183998
142,recovery,9.21600033,488.447994
143,recovery,10.2399997,499.71199
144,recovery,10.2399997,510.976017
145,recovery,9.50399972,523.263991
146,recovery,10.2399997,534.528017
147,recovery,10.2399997,545.791984
148,recovery,9.24799964,558.080018
149,recovery,10.2399997,569.343984
150,recovery,10.2399997,580.60801
151,recovery,10.2399997,591.871977
152,recovery,9.21600033,604.160011
153,recovery,9.21600033,615.423977
154,recovery,9.21600033,626.688004
155,recovery,10.2399997,637.95203
156,recovery,10.2399997,649.215996
157,recovery,10.2399997,660.480022
158,recovery,10.2399997,671.743989
159,recovery,9.24799964,684.032023
160,recovery,9.37599968,695.29599
161,recovery,10.2399997,706.560016
162,recovery,10.2399997,717.823982
163,recovery,9.21600033,730.112016
164,recovery,10.2399997,741.375983
165,recovery,10.2399997,752.640009
166,recovery,9.24799964,764.927983
167,recovery,10.2399997,776.192009
168,recovery,10.2399997,788.479984
169,recovery,10.2399997,800.768018
170,recovery,9.21600033,813.055992
171,recovery,10.2399997,824.320018
172,recovery,10.2399997,836.607993
173,recovery,10.2399997,848.896027
174,recovery,10.2399997,861.184001
175,recovery,10.2399997,873.471975
176,recovery,10.2399997,885.760009
177,recovery,10.2399997,898.047984
178,recovery,10.2399997,909.31201
179,recovery,9.21600033,921.599984
180,recovery,9.21600033,932.86401
181,recovery,10.2399997,944.127977
182,recovery,10.2399997,955.392003
183,recovery,10.2399997,966.656029
184,recovery,10.2399997,977.919996
185,recovery,10.2399997,989.184022
186,recovery,9.27999988,1001.472
187,recovery,9.21600033,1012.73596
188,recovery,10.2399997,1024.00005
189,recovery,10.2399997,1035.26402
190,recovery,10.2399997,1046.52798
191,recovery,10.2399997,1057.79195
192,recovery,10.2399997,1070.08004
193,recovery,10.2399997,1081.34401
194,recovery,10.2399997,1092.60798
195,recovery,9.40799993,1104.89595
196,recovery,9.40799993,1116.16004
197,recovery,9.21600033,1127.424
198,recovery,9.21600033,1138.68797
