sample,phase,victim_latency_ms,recovery_index,time_since_interference_end_ms
0,baseline,0.516095996,-1,-1
1,baseline,0.559104025,-1,-1
2,baseline,0.561151981,-1,-1
3,baseline,0.578303993,-1,-1
4,baseline,0.579584002,-1,-1
5,baseline,0.616447985,-1,-1
6,baseline,0.612352014,-1,-1
7,baseline,0.530431986,-1,-1
8,baseline,0.55705601,-1,-1
9,baseline,0.558304012,-1,-1
10,baseline,0.575487971,-1,-1
11,baseline,0.594944,-1,-1
12,baseline,0.588735998,-1,-1
13,baseline,0.586751997,-1,-1
14,baseline,0.588800013,-1,-1
15,baseline,0.594944,-1,-1
16,baseline,0.589663982,-1,-1
17,baseline,0.547839999,-1,-1
18,baseline,0.58572799,-1,-1
19,baseline,0.614400029,-1,-1
20,baseline,0.584703982,-1,-1
21,baseline,0.589536011,-1,-1
22,baseline,0.583679974,-1,-1
23,baseline,0.594944,-1,-1
24,baseline,0.584703982,-1,-1
25,baseline,0.590848029,-1,-1
26,baseline,0.584703982,-1,-1
27,baseline,0.590848029,-1,-1
28,baseline,0.591840029,-1,-1
29,baseline,0.592768013,-1,-1
30,baseline,0.591871977,-1,-1
31,baseline,0.545791984,-1,-1
32,baseline,0.584703982,-1,-1
33,baseline,0.60927999,-1,-1
34,baseline,0.584703982,-1,-1
35,baseline,0.588800013,-1,-1
36,baseline,0.583679974,-1,-1
37,baseline,0.592895985,-1,-1
38,baseline,0.586751997,-1,-1
39,baseline,0.58060801,-1,-1
40,baseline,0.591871977,-1,-1
41,baseline,0.584703982,-1,-1
42,baseline,0.582656026,-1,-1
43,baseline,0.588800013,-1,-1
44,baseline,0.544767976,-1,-1
45,baseline,0.584703982,-1,-1
46,baseline,0.591871977,-1,-1
47,baseline,0.593919992,-1,-1
48,baseline,0.583679974,-1,-1
49,baseline,0.593824029,-1,-1
50,baseline,0.592895985,-1,-1
51,baseline,0.577535987,-1,-1
52,baseline,0.584767997,-1,-1
53,baseline,0.581632018,-1,-1
54,baseline,0.589951992,-1,-1
55,baseline,0.589024007,-1,-1
56,baseline,0.587776005,-1,-1
57,baseline,0.544767976,-1,-1
58,baseline,0.571392,-1,-1
59,baseline,0.587903976,-1,-1
60,baseline,0.612352014,-1,-1
61,baseline,0.609247983,-1,-1
62,baseline,0.589824021,-1,-1
63,baseline,0.595968008,-1,-1
64,baseline,0.590848029,-1,-1
65,baseline,0.587776005,-1,-1
66,baseline,0.592895985,-1,-1
67,baseline,0.591871977,-1,-1
68,baseline,0.594655991,-1,-1
69,baseline,0.58572799,-1,-1
70,baseline,0.534528017,-1,-1
71,baseline,0.613376021,-1,-1
72,baseline,0.615423977,-1,-1
73,baseline,0.582751989,-1,-1
74,baseline,0.586751997,-1,-1
75,baseline,0.588800013,-1,-1
76,baseline,0.587776005,-1,-1
77,baseline,0.587776005,-1,-1
78,baseline,0.593728006,-1,-1
79,baseline,0.584415972,-1,-1
80,baseline,0.593919992,-1,-1
81,baseline,0.590784013,-1,-1
82,baseline,0.599008024,-1,-1
83,baseline,0.579584002,-1,-1
84,baseline,0.533504009,-1,-1
85,baseline,0.602111995,-1,-1
86,baseline,0.614400029,-1,-1
87,baseline,0.592992008,-1,-1
88,baseline,0.578559995,-1,-1
89,baseline,0.589792013,-1,-1
90,baseline,0.584703982,-1,-1
91,baseline,0.590911984,-1,-1
92,baseline,0.588800013,-1,-1
93,baseline,0.593760014,-1,-1
94,baseline,0.58572799,-1,-1
95,baseline,0.590848029,-1,-1
96,baseline,0.590592027,-1,-1
97,baseline,0.535552025,-1,-1
98,baseline,0.601087987,-1,-1
99,baseline,0.612352014,-1,-1
100,interference,0.636928022,-1,-1
101,interference,0.626688004,-1,-1
102,interference,0.632831991,-1,-1
103,interference,0.632831991,-1,-1
104,interference,0.632831991,-1,-1
105,interference,0.624639988,-1,-1
106,interference,0.965632021,-1,-1
107,interference,0.632831991,-1,-1
108,interference,0.624639988,-1,-1
109,interference,1.142784,-1,-1
110,interference,0.638975978,-1,-1
111,interference,0.644096017,-1,-1
112,interference,0.626688004,-1,-1
113,interference,0.617471993,-1,-1
114,interference,0.616447985,-1,-1
115,interference,0.611328006,-1,-1
116,interference,0.610303998,-1,-1
117,interference,0.610303998,-1,-1
118,interference,0.610303998,-1,-1
119,interference,0.60927999,-1,-1
120,interference,0.608255982,-1,-1
121,interference,0.608255982,-1,-1
122,interference,0.610303998,-1,-1
123,interference,1.08748806,-1,-1
124,interference,0.63795203,-1,-1
125,interference,0.633855999,-1,-1
126,interference,0.616447985,-1,-1
127,interference,0.608255982,-1,-1
128,interference,0.612352014,-1,-1
129,interference,0.611328006,-1,-1
130,interference,0.608255982,-1,-1
131,interference,0.610303998,-1,-1
132,interference,0.610303998,-1,-1
133,interference,0.60927999,-1,-1
134,interference,0.608255982,-1,-1
135,interference,0.60927999,-1,-1
136,interference,1.07315195,-1,-1
137,interference,0.643072009,-1,-1
138,interference,0.634880006,-1,-1
139,interference,0.625663996,-1,-1
140,interference,0.617471993,-1,-1
141,interference,0.60927999,-1,-1
142,interference,0.610303998,-1,-1
143,interference,0.613376021,-1,-1
144,interference,0.610303998,-1,-1
145,interference,0.611328006,-1,-1
146,interference,0.923648,-1,-1
147,interference,0.626688004,-1,-1
148,interference,0.636928022,-1,-1
149,interference,0.624639988,-1,-1
150,interference,0.615423977,-1,-1
151,interference,0.608255982,-1,-1
152,interference,0.607231975,-1,-1
153,interference,0.60927999,-1,-1
154,interference,0.610303998,-1,-1
155,interference,0.60927999,-1,-1
156,interference,0.608255982,-1,-1
157,interference,0.60927999,-1,-1
158,interference,0.610303998,-1,-1
159,interference,0.60927999,-1,-1
160,interference,0.90931201,-1,-1
161,interference,0.639999986,-1,-1
162,interference,0.641023993,-1,-1
163,interference,0.616447985,-1,-1
164,interference,0.612352014,-1,-1
165,interference,0.611328006,-1,-1
166,interference,0.613376021,-1,-1
167,interference,0.607231975,-1,-1
168,interference,0.607231975,-1,-1
169,interference,0.607231975,-1,-1
170,interference,0.607231975,-1,-1
171,interference,0.607231975,-1,-1
172,interference,0.607231975,-1,-1
173,interference,0.892928004,-1,-1
174,interference,0.598016024,-1,-1
175,interference,0.641023993,-1,-1
176,interference,0.636928022,-1,-1
177,interference,0.619520009,-1,-1
178,interference,0.619520009,-1,-1
179,interference,0.615423977,-1,-1
180,interference,0.618496001,-1,-1
181,interference,0.615423977,-1,-1
182,interference,0.613376021,-1,-1
183,interference,0.60927999,-1,-1
184,interference,0.607231975,-1,-1
185,interference,0.613376021,-1,-1
186,interference,0.607231975,-1,-1
187,interference,0.912383974,-1,-1
188,interference,0.63795203,-1,-1
189,interference,0.639999986,-1,-1
190,interference,0.625663996,-1,-1
191,interference,0.618496001,-1,-1
192,interference,0.614400029,-1,-1
193,interference,0.610303998,-1,-1
194,interference,0.612352014,-1,-1
195,interference,0.60927999,-1,-1
196,interference,0.607231975,-1,-1
197,interference,0.610303998,-1,-1
198,interference,0.608255982,-1,-1
199,interference,0.605184019,-1,-1
200,recovery,0.532703996,0,0.0225280002
201,recovery,0.56627202,1,0.562175989
202,recovery,0.590848029,2,1.13459206
203,recovery,0.590528011,3,1.73088002
204,recovery,0.593919992,4,2.32652807
205,recovery,0.590848029,5,2.92863989
206,recovery,0.595968008,6,3.52665591
207,recovery,0.535552025,7,4.39296007
208,recovery,0.570367992,8,4.9336319
209,recovery,0.593919992,9,5.50911999
210,recovery,0.593887985,10,6.10844803
211,recovery,0.544767976,11,7.13727999
212,recovery,0.584703982,12,7.68921614
213,recovery,0.584703982,13,8.28518391
214,recovery,0.58572799,14,8.87603188
215,recovery,0.587776005,15,9.46790409
216,recovery,0.593792021,16,10.0609283
217,recovery,0.595968008,17,10.6608639
218,recovery,0.591871977,18,11.2639999
219,recovery,0.595968008,19,11.8620157
220,recovery,0.598016024,20,12.4631042
221,recovery,0.589824021,21,13.0672636
222,recovery,0.591903985,22,13.6622076
223,recovery,0.589824021,23,14.2632961
224,recovery,0.545791984,24,15.2893438
225,recovery,0.592895985,25,15.8464003
226,recovery,0.60927999,26,16.4464645
