sample,phase,victim_latency_ms,recovery_index,time_since_interference_end_ms
0,baseline,0.595968008,-1,-1
1,baseline,0.654111981,-1,-1
2,baseline,0.661759973,-1,-1
3,baseline,0.654335976,-1,-1
4,baseline,0.627712011,-1,-1
5,baseline,0.624704003,-1,-1
6,baseline,0.646175981,-1,-1
7,baseline,0.624639988,-1,-1
8,baseline,0.673792005,-1,-1
9,baseline,0.693247974,-1,-1
10,baseline,0.676608026,-1,-1
11,baseline,0.682816029,-1,-1
12,baseline,0.679935992,-1,-1
13,baseline,0.678911984,-1,-1
14,baseline,0.678911984,-1,-1
15,baseline,0.674816012,-1,-1
16,baseline,0.62361598,-1,-1
17,baseline,0.625663996,-1,-1
18,baseline,0.620544016,-1,-1
19,baseline,0.676864028,-1,-1
20,baseline,0.694271982,-1,-1
21,baseline,0.681984007,-1,-1
22,baseline,0.679935992,-1,-1
23,baseline,0.689152002,-1,-1
24,baseline,0.68096,-1,-1
25,baseline,0.673792005,-1,-1
26,baseline,0.681984007,-1,-1
27,baseline,0.62361598,-1,-1
28,baseline,0.62361598,-1,-1
29,baseline,0.618496001,-1,-1
30,baseline,0.701439977,-1,-1
31,baseline,0.691200018,-1,-1
32,baseline,0.669695973,-1,-1
33,baseline,0.681984007,-1,-1
34,baseline,0.674816012,-1,-1
35,baseline,0.681984007,-1,-1
36,baseline,0.677887976,-1,-1
37,baseline,0.642048001,-1,-1
38,baseline,0.629760027,-1,-1
39,baseline,0.624863982,-1,-1
40,baseline,0.624639988,-1,-1
41,baseline,0.69017601,-1,-1
42,baseline,0.694591999,-1,-1
43,baseline,0.687103987,-1,-1
44,baseline,0.676864028,-1,-1
45,baseline,0.678911984,-1,-1
46,baseline,0.673695982,-1,-1
47,baseline,0.681760013,-1,-1
48,baseline,0.685055971,-1,-1
49,baseline,0.626688004,-1,-1
50,baseline,0.62361598,-1,-1
51,baseline,0.620544016,-1,-1
52,baseline,0.677887976,-1,-1
53,baseline,0.702463984,-1,-1
54,baseline,0.67584002,-1,-1
55,baseline,0.683008015,-1,-1
56,baseline,0.679808021,-1,-1
57,baseline,0.673663974,-1,-1
58,baseline,0.670719981,-1,-1
59,baseline,0.676671982,-1,-1
60,baseline,0.626688004,-1,-1
61,baseline,0.624863982,-1,-1
62,baseline,0.651359975,-1,-1
63,baseline,0.621568024,-1,-1
64,baseline,0.703199983,-1,-1
65,baseline,0.696319997,-1,-1
66,baseline,0.675808012,-1,-1
67,baseline,0.669791996,-1,-1
68,baseline,0.68096,-1,-1
