sample,phase,victim_latency_ms,recovery_index,time_since_interference_end_ms
0,baseline,0.574464023,-1,-1
1,baseline,0.654048026,-1,-1
2,baseline,0.684800029,-1,-1
3,baseline,0.679776013,-1,-1
4,baseline,0.671392024,-1,-1
5,baseline,0.591871977,-1,-1
6,baseline,0.683008015,-1,-1
7,baseline,0.699584007,-1,-1
8,baseline,0.674687982,-1,-1
9,baseline,0.667392015,-1,-1
10,baseline,0.674816012,-1,-1
11,baseline,0.683008015,-1,-1
12,baseline,0.680736005,-1,-1
13,baseline,0.670719981,-1,-1
14,baseline,0.672767997,-1,-1
15,baseline,0.674816012,-1,-1
16,baseline,0.671743989,-1,-1
17,baseline,0.601087987,-1,-1
18,baseline,0.694176018,-1,-1
19,baseline,0.696319997,-1,-1
20,baseline,0.675584018,-1,-1
21,baseline,0.677183986,-1,-1
22,baseline,0.679935992,-1,-1
23,baseline,0.67584002,-1,-1
24,baseline,0.671743989,-1,-1
25,baseline,0.672735989,-1,-1
26,baseline,0.674719989,-1,-1
27,baseline,0.677983999,-1,-1
28,baseline,0.598016024,-1,-1
29,baseline,0.700416028,-1,-1
30,baseline,0.696319997,-1,-1
31,baseline,0.680863976,-1,-1
32,baseline,0.671072006,-1,-1
33,baseline,0.677887976,-1,-1
34,baseline,0.675711989,-1,-1
35,baseline,0.674528003,-1,-1
36,baseline,0.671039999,-1,-1
37,baseline,0.67769599,-1,-1
38,baseline,0.675967991,-1,-1
39,baseline,0.678911984,-1,-1
40,baseline,0.622591972,-1,-1
41,baseline,0.700416028,-1,-1
42,baseline,0.69529599,-1,-1
43,baseline,0.670719981,-1,-1
44,baseline,0.674816012,-1,-1
45,baseline,0.678592026,-1,-1
46,baseline,0.677887976,-1,-1
47,baseline,0.673792005,-1,-1
48,baseline,0.674816012,-1,-1
49,baseline,0.675776005,-1,-1
50,baseline,0.676864028,-1,-1
51,baseline,0.670719981,-1,-1
52,baseline,0.601087987,-1,-1
53,baseline,0.701439977,-1,-1
54,baseline,0.693247974,-1,-1
55,baseline,0.67584002,-1,-1
56,baseline,0.679871976,-1,-1
57,baseline,0.673792005,-1,-1
58,baseline,0.679935992,-1,-1
