sample,phase,victim_latency_ms,recovery_index,time_since_interference_end_ms
0,baseline,0.631519973,-1,-1
1,baseline,0.606176019,-1,-1
2,baseline,0.603424013,-1,-1
3,baseline,0.603872001,-1,-1
4,baseline,0.602144003,-1,-1
5,baseline,0.606176019,-1,-1
6,baseline,0.603488028,-1,-1
7,baseline,0.606208026,-1,-1
8,baseline,0.603839993,-1,-1
9,baseline,0.603232026,-1,-1
10,baseline,0.601664007,-1,-1
11,baseline,0.602176011,-1,-1
12,baseline,0.604128003,-1,-1
13,baseline,0.603200018,-1,-1
14,baseline,0.602111995,-1,-1
15,baseline,0.604160011,-1,-1
16,baseline,0.602559984,-1,-1
17,baseline,0.602527976,-1,-1
18,baseline,0.60332799,-1,-1
19,baseline,0.602144003,-1,-1
20,baseline,0.603263974,-1,-1
21,baseline,0.602176011,-1,-1
22,baseline,0.603583992,-1,-1
23,baseline,0.604192019,-1,-1
24,baseline,0.602303982,-1,-1
25,baseline,0.60246402,-1,-1
26,baseline,0.602271974,-1,-1
27,baseline,0.603999972,-1,-1
28,baseline,0.602559984,-1,-1
29,baseline,0.603904009,-1,-1
30,baseline,0.603168011,-1,-1
31,baseline,0.600960016,-1,-1
32,baseline,0.602944016,-1,-1
33,baseline,0.602591991,-1,-1
34,baseline,0.602240026,-1,-1
35,baseline,0.60275197,-1,-1
36,baseline,0.602303982,-1,-1
37,baseline,0.603775978,-1,-1
38,baseline,0.605376005,-1,-1
39,baseline,0.602015972,-1,-1
40,baseline,0.60403198,-1,-1
41,baseline,0.601984024,-1,-1
42,baseline,0.602144003,-1,-1
43,baseline,0.602208018,-1,-1
44,baseline,0.602527976,-1,-1
45,baseline,0.603712022,-1,-1
46,baseline,0.603615999,-1,-1
47,baseline,0.602367997,-1,-1
48,baseline,0.604160011,-1,-1
49,baseline,0.603424013,-1,-1
50,baseline,0.602144003,-1,-1
51,baseline,0.602271974,-1,-1
52,baseline,0.602144003,-1,-1
53,baseline,0.603519976,-1,-1
54,baseline,0.602432013,-1,-1
55,baseline,0.603615999,-1,-1
56,baseline,0.602144003,-1,-1
57,baseline,0.602720022,-1,-1
58,baseline,0.602144003,-1,-1
59,baseline,0.602111995,-1,-1
60,baseline,0.60204798,-1,-1
61,baseline,0.60332799,-1,-1
62,baseline,0.602271974,-1,-1
63,baseline,0.603071988,-1,-1
64,baseline,0.603872001,-1,-1
65,baseline,0.602111995,-1,-1
66,baseline,0.602847993,-1,-1
67,baseline,0.603168011,-1,-1
68,baseline,0.602720022,-1,-1
69,baseline,0.602880001,-1,-1
70,baseline,0.602815986,-1,-1
71,baseline,0.603680015,-1,-1
72,baseline,0.602144003,-1,-1
73,baseline,0.602783978,-1,-1
74,baseline,0.602496028,-1,-1
75,baseline,0.602144003,-1,-1
76,baseline,0.602656007,-1,-1
77,baseline,0.602079988,-1,-1
78,baseline,0.601888001,-1,-1
79,baseline,0.602144003,-1,-1
80,baseline,0.601952016,-1,-1
81,baseline,0.604095995,-1,-1
82,baseline,0.602111995,-1,-1
83,baseline,0.60076803,-1,-1
84,baseline,0.600736022,-1,-1
85,baseline,0.603615999,-1,-1
86,baseline,0.60403198,-1,-1
87,baseline,0.602144003,-1,-1
88,baseline,0.602208018,-1,-1
89,baseline,0.602623999,-1,-1
90,baseline,0.60275197,-1,-1
91,baseline,0.602144003,-1,-1
92,baseline,0.602559984,-1,-1
93,baseline,0.604160011,-1,-1
94,baseline,0.602815986,-1,-1
95,baseline,0.602656007,-1,-1
96,baseline,0.603648007,-1,-1
